Phycomyces blakesleeanus	Phycblak
Phycomyces nitens	Phycnite
Actinomucor elegans	Actieleg
Backusella australiensis	Backaust
Neurospora crassa	Neurcras
Aspergillus nidulans	Aspenidu
Coprinopsis cinerea	Coprcine
