GROUP,Species,Strain,Protein,DNA,Short,TaxonGroup
IN,Exophiala dermatitidis,NIH_UT8656,Exophiala_dermatitidis_NIH_UT8656.aa.fasta,Exophiala_dermatitidis_NIH_UT8656.fasta,Exopderm,Herpotrichiellaceae
IN,Fusarium fujikuroi,IMI58289,Fusarium_fujikuroi_IMI58289.aa.fasta,Fusarium_fujikuroi_IMI58289.fasta,Fusafuji,Nectriaceae
IN,Fusarium graminearum,PH-1,Fusarium_graminearum_PH-1.aa.fasta,Fusarium_graminearum_PH-1.fasta,Fusagram,Nectriaceae
IN,Glarea lozoyensis,74030,Glarea_lozoyensis_74030.aa.fasta,Glarea_lozoyensis_74030.fasta,Glarlozo,Helotiaceae
IN,Glonium stellatum,,Glonium_stellatum.Glost2.v1.aa.fasta,Glonium_stellatum.Glost2.v1.fasta,Glonstel,Gloniaceae
IN,Hortaea werneckii,EXF-2000,Hortaea_werneckii_EXF-2000.v2_M0.aa.fasta,Hortaea_werneckii_EXF-2000.v2_M0.fasta,Hortwern,Teratosphaeriaceae
IN,Hymenoscyphus fraxineus,KW1,Hymenoscyphus_fraxineus_KW1.v1.aa.fasta,Hymenoscyphus_fraxineus_KW1.v1.fasta,Hymefrax,Helotiaceae
IN,Hysterium pulicare,CBS_123377,Hysterium_pulicare_CBS_123377.Hyspu1_1.aa.fasta,Hysterium_pulicare_CBS_123377.Hyspu1_1.fasta,Hystpuli,Hysteriaceae
IN,Karstenula rhodostoma,CBS_690,Karstenula_rhodostoma_CBS_690.94.Karrh1.v1.aa.fasta,Karstenula_rhodostoma_CBS_690.94.Karrh1.v1.fasta,Karsrhod,Didymosphaeriaceae
IN,Lentithecium fluviatile,CBS_122367,Lentithecium_fluviatile_CBS_122367.Lenfl1.v1.aa.fasta,Lentithecium_fluviatile_CBS_122367.Lenfl1.v1.fasta,Lentfluv,Lentitheciaceae
IN,Lepidopterella palustris,,Lepidopterella_palustris.Leppa1.v1.aa.fasta,Lepidopterella_palustris.Leppa1.v1.fasta,Lepipalu,Argynnaceae
IN,Lophiostoma macrostomum,CBS_122681,Lophiostoma_macrostomum_CBS_122681.Lopma1.v1.aa.fasta,Lophiostoma_macrostomum_CBS_122681.Lopma1.v1.fasta,Lophmacr,Lophiostomataceae
IN,Lophium mytilinum,CBS_269,Lophium_mytilinum_CBS_269.34.Lopmy1.v1.aa.fasta,Lophium_mytilinum_CBS_269.34.Lopmy1.v1.fasta,Lophmyti,Mytilinidiaceae
IN,Melanomma pulvis-pyrius,CBS_109,Melanomma_pulvis-pyrius_CBS_109.77.Melpu1.v1.aa.fasta,Melanomma_pulvis-pyrius_CBS_109.77.Melpu1.v1.fasta,Melapulv,Melanommataceae
IN,Metarhizium anisopliae,ARSEF_23,Metarhizium_anisopliae_ARSEF_23.aa.fasta,Metarhizium_anisopliae_ARSEF_23.fasta,Metaanis,Clavicipitaceae
IN,Monascus purpureus,NRRL_1596,Monascus_purpureus_NRRL_1596.Monpu1.v1.aa.fasta,Monascus_purpureus_NRRL_1596.Monpu1.v1.fasta,Monapurp,Aspergillaceae
IN,Monascus ruber,NRRL_1597,Monascus_ruber_NRRL_1597.Monru1.v1.aa.fasta,Monascus_ruber_NRRL_1597.Monru1.v1.fasta,Monarube,Aspergillaceae
IN,Morchella conica,CCBAS932,Morchella_conica_CCBAS932.Morco1.v1.aa.fasta,Morchella_conica_CCBAS932.Morco1.v1.fasta,Morcconi,Morchellaceae
IN,Myriangium duriaei,CBS_260,Myriangium_duriaei_CBS_260.36.Myrdu1.v1.aa.fasta,Myriangium_duriaei_CBS_260.36.Myrdu1.v1.fasta,Myriduri,Myriangiaceae
IN,Neurospora crassa,OR74A,Neurospora_crassa_OR74A.aa.fasta,Neurospora_crassa_OR74A.fasta,Neurcras,Sordariaceae
IN,Oidiodendron maius,Zn,Oidiodendron_maius_Zn.Oidma1.v1.aa.fasta,Oidiodendron_maius_Zn.Oidma1.v1.fasta,Oidimaiu,Myxotrichaceae
IN,Ophiostoma piceae,UAMH_11346,Ophiostoma_piceae_UAMH_11346.aa.fasta,Ophiostoma_piceae_UAMH_11346.fasta,Ophipice,Ophiostomataceae
IN,Paracoccidioides brasiliensis,Pb18,Paracoccidioides_brasiliensis_Pb18.aa.fasta,Paracoccidioides_brasiliensis_Pb18.fasta,Parabras,Ajellomycetaceae
IN,Patellaria atrata,CBS_101060,Patellaria_atrata_CBS_101060.Patat1.v1.aa.fasta,Patellaria_atrata_CBS_101060.Patat1.v1.fasta,Pateatra,Patellariaceae
IN,Periconia macrospinosa,DSE2036,Periconia_macrospinosa_DSE2036.Perma1.v1.aa.fasta,Periconia_macrospinosa_DSE2036.Perma1.v1.fasta,Perimacr,Periconiaceae
IN,Piedraia hortae,CBS_480,Piedraia_hortae_CBS_480.64.Pieho1_1.v1.1.aa.fasta,Piedraia_hortae_CBS_480.64.Pieho1_1.v1.1.fasta,Piedhort,Piedraiaceae
IN,Pleomassaria siparia,CBS_279,Pleomassaria_siparia_CBS_279.74.Plesi1.v1.aa.fasta,Pleomassaria_siparia_CBS_279.74.Plesi1.v1.fasta,Pleosipa,Pleomassariaceae
IN,Podospora anserina,S_mat+,Podospora_anserina_S_mat+.Podan2.aa.fasta,Podospora_anserina_S_mat+.Podan2.fasta,Podoanse,Podosporaceae
IN,Polychaeton citri,CBS_116435,Polychaeton_citri_CBS_116435.Polci1.v1.aa.fasta,Polychaeton_citri_CBS_116435.Polci1.v1.fasta,Polycitr,Capnodiaceae
IN,Polyplosphaeria fusca,CBS_125425,Polyplosphaeria_fusca_CBS_125425.Polfu1.v1.aa.fasta,Polyplosphaeria_fusca_CBS_125425.Polfu1.v1.fasta,Polyfusc,Tetraplosphaeriaceae
IN,Pseudogymnoascus destructans,20631-21,Pseudogymnoascus_destructans_20631-21.aa.fasta,Pseudogymnoascus_destructans_20631-21.fasta,Pseudest,Thelebolaceae
IN,Pyrenophora tritici-repentis,,Pyrenophora_tritici-repentis.aa.fasta,Pyrenophora_tritici-repentis.fasta,Pyretrit,Pleosporaceae
IN,Rhytidhysteron rufulum,CBS_306,Rhytidhysteron_rufulum_CBS_306.38.Rhyru1_1.aa.fasta,Rhytidhysteron_rufulum_CBS_306.38.Rhyru1_1.fasta,Rhytrufu,Hysteriaceae
IN,Saccharata proteae,CBS_121410,Saccharata_proteae_CBS_121410.Sacpr1.v1.aa.fasta,Saccharata_proteae_CBS_121410.Sacpr1.v1.fasta,Saccprot,Saccharataceae
IN,Sclerotinia sclerotiorum,1980_UF-70,Sclerotinia_sclerotiorum_1980_UF-70.aa.fasta,Sclerotinia_sclerotiorum_1980_UF-70.fasta,Sclescle,Sclerotiniaceae
IN,Sordaria macrospora,k-hell,Sordaria_macrospora_k-hell.aa.fasta,Sordaria_macrospora_k-hell.fasta,Sordmacr,Sordariaceae
IN,Sphaerulina musiva,SO2202,Sphaerulina_musiva_SO2202.aa.fasta,Sphaerulina_musiva_SO2202.fasta,Sphamusi,Mycosphaerellaceae
IN,Sporormia fimetaria,,Sporormia_fimetaria.Spofi1.v1.aa.fasta,Sporormia_fimetaria.Spofi1.v1.fasta,Sporfime,Sporormiaceae
IN,Talaromyces marneffei,ATCC_18224,Talaromyces_marneffei_ATCC_18224.aa.fasta,Talaromyces_marneffei_ATCC_18224.fasta,Talamarn,Trichocomaceae
IN,Talaromyces stipitatus,ATCC_10500,Talaromyces_stipitatus_ATCC_10500.aa.fasta,Talaromyces_stipitatus_ATCC_10500.fasta,Talastip,Trichocomaceae
IN,Terfezia boudieri,S1,Terfezia_boudieri_S1.Terbo2.v1.1.aa.fasta,Terfezia_boudieri_S1.Terbo2.v1.1.fasta,Terfboud,Pezizaceae
IN,Thermoascus aurantiacus,ATCC26904,Thermoascus_aurantiacus_ATCC26904.Theau1.v1.aa.fasta,Thermoascus_aurantiacus_ATCC26904.Theau1.v1.fasta,Theraura,Thermoascaceae
IN,Thermomyces lanuginosus,SSBP,Thermomyces_lanuginosus_SSBP.aa.fasta,Thermomyces_lanuginosus_SSBP.fasta,Therlanu,Trichocomaceae
IN,Tolypocladium inflatum,NRRL_8044,Tolypocladium_inflatum_NRRL_8044.v1.aa.fasta,Tolypocladium_inflatum_NRRL_8044.v1.fasta,Tolyinfl,Ophiocordycipitaceae
IN,Tothia fuscella,CBS_130266,Tothia_fuscella_CBS_130266.Totfu1.v1.aa.fasta,Tothia_fuscella_CBS_130266.Totfu1.v1.fasta,Tothfusc,Cylindrosympodiaceae
IN,Trematosphaeria pertusa,CBS_122368,Trematosphaeria_pertusa_CBS_122368.Trepe1.v1.aa.fasta,Trematosphaeria_pertusa_CBS_122368.Trepe1.v1.fasta,Trempert,Trematosphaeriaceae
IN,Trichoderma atroviride,IMI_206040,Trichoderma_atroviride_IMI_206040.Triat2.v2.aa.fasta,Trichoderma_atroviride_IMI_206040.Triat2.v2.fasta,Tricatro,Hypocreaceae
IN,Trichodelitschia bisporula,CBS_262,Trichodelitschia_bisporula_CBS_262.69.Tribi1.v1.aa.fasta,Trichodelitschia_bisporula_CBS_262.69.Tribi1.v1.fasta,Tricbisp,Phaeotrichaceae
IN,Trichophyton rubrum,CBS_118892,Trichophyton_rubrum_CBS_118892.aa.fasta,Trichophyton_rubrum_CBS_118892.fasta,Tricrubr,Arthrodermataceae
IN,Trichoderma virens,Gv29-8,Trichoderma_virens_Gv29-8.TriviGv29_8_2.v2.aa.fasta,Trichoderma_virens_Gv29-8.TriviGv29_8_2.v2.fasta,Tricvire,Hypocreaceae
IN,Trypethelium eluteriae,,Trypethelium_eluteriae.Tryvi1.v1.aa.fasta,Trypethelium_eluteriae.Tryvi1.v1.fasta,Trypelut,Trypetheliaceae
IN,Tuber melanosporum,,Tuber_melanosporum.Tubme1.aa.fasta,Tuber_melanosporum.Tubme1.fasta,Tubemela,Tuberaceae
IN,Uncinocarpus reesii,1704,Uncinocarpus_reesii_1704.aa.fasta,Uncinocarpus_reesii_1704.fasta,Uncirees,Onygenaceae
IN,Verticillium dahliae,JR2,Verticillium_dahliae_JR2.Verda1.v1.aa.fasta,Verticillium_dahliae_JR2.Verda1.v1.fasta,Vertdahl,Plectosphaerellaceae
IN,Wilcoxina mikolae,CBS_423,Wilcoxina_mikolae_CBS_423.85.Wilmi1.v1.aa.fasta,Wilcoxina_mikolae_CBS_423.85.Wilmi1.v1.fasta,Wilcmiko,Pyronemataceae
IN,Xanthoria parietina,46-1,Xanthoria_parietina_46-1.Xanpa2.v1.1.aa.fasta,Xanthoria_parietina_46-1.Xanpa2.v1.1.fasta,Xantpari,Teloschistaceae
IN,Xylona heveae,TC161,Xylona_heveae_TC161.Xylhe1.v1.aa.fasta,Xylona_heveae_TC161.Xylhe1.v1.fasta,Xyloheve,Xylonaceae
IN,Zasmidium cellare,ATCC_36951,Zasmidium_cellare_ATCC_36951.Zasce1.v1.aa.fasta,Zasmidium_cellare_ATCC_36951.Zasce1.v1.fasta,Zasmcell,Mycosphaerellaceae
IN,Zopfia rhizophila,CBS_207,Zopfia_rhizophila_CBS_207.26.Zoprh1.v1.aa.fasta,Zopfia_rhizophila_CBS_207.26.Zoprh1.v1.fasta,Zopfrhiz,Zopfiaceae
IN,Zymoseptoria pseudotritici,STIR04_4,Zymoseptoria_pseudotritici_STIR04_4.3.1.Zymps1.aa.fasta,Zymoseptoria_pseudotritici_STIR04_4.3.1.Zymps1.fasta,Zymopseu,Mycosphaerellaceae
OUT,Allomyces macrogynus,ATCC_38327,Allomyces_macrogynus_ATCC_38327.v3.aa.fasta,Allomyces_macrogynus_ATCC_38327.v3.fasta,Allomacr,Blastocladiomycota
OUT,Backusella circina,FSU_941,Backusella_circina_FSU_941.Bacci1.v1.aa.fasta,Backusella_circina_FSU_941.Bacci1.v1.fasta,Backcirc,Mucoromycota
OUT,Basidiobolus meristosporus,CBS_931,Basidiobolus_meristosporus_CBS_931.73.Basme2finSC.v1.aa.fasta,Basidiobolus_meristosporus_CBS_931.73.Basme2finSC.v1.fasta,Basimer2,Basidiobolomycota
OUT,Basidiobolus meristosporus,B9252,Basidiobolus_meristosporus_B9252.aa.fasta,Basidiobolus_meristosporus_B9252.fasta,Basimeri,Basidiobolomycota
OUT,Batrachochytrium dendrobatidis,JAM81,Batrachochytrium_dendrobatidis_JAM81.Batde5.v1.aa.fasta,Batrachochytrium_dendrobatidis_JAM81.Batde5.v1.fasta,Batrdend,Chytridiomycota
OUT,Botryobasidium botryosum,FD-172_SS1,Botryobasidium_botryosum_FD-172_SS1.Botbo1.v1.aa.fasta,Botryobasidium_botryosum_FD-172_SS1.Botbo1.v1.fasta,Botrbotr,Basidiomycota
OUT,Catenaria anguillulae,PL171,Catenaria_anguillulae_PL171.Catan1.v1.aa.fasta,Catenaria_anguillulae_PL171.Catan1.v1.fasta,Cateangu,Blastocladiomycota
OUT,Coemansia reversa,NRRL_1564,Coemansia_reversa_NRRL_1564.Coere1.v1.aa.fasta,Coemansia_reversa_NRRL_1564.Coere1.v1.fasta,Coemreve,Kickxellomycota
OUT,Conidiobolus coronatus,NRRL_28638,Conidiobolus_coronatus_NRRL_28638.Conco1.v1.aa.fasta,Conidiobolus_coronatus_NRRL_28638.Conco1.v1.fasta,Conicoro,Entomophthoromycota
OUT,Gonapodya prolifera,JEL478,Gonapodya_prolifera_JEL478.Ganpr1.v1.aa.fasta,Gonapodya_prolifera_JEL478.Ganpr1.v1.fasta,Gonaprol,Monoblepharomycota
OUT,Laccaria bicolor,S238N-H82,Laccaria_bicolor_S238N-H82.Lacbi2.v2.aa.fasta,Laccaria_bicolor_S238N-H82.Lacbi2.v2.fasta,Laccbico,Basidiomycota
OUT,Lichtheimia hyalospora,FSU_10163,Lichtheimia_hyalospora_FSU_10163.Lichy1.v1.aa.fasta,Lichtheimia_hyalospora_FSU_10163.Lichy1.v1.fasta,Lichhyal,Mucoromycota
OUT,Linderina pennispora,ATCC_12442,Linderina_pennispora_ATCC_12442.Linpe1.v1.aa.fasta,Linderina_pennispora_ATCC_12442.Linpe1.v1.fasta,Lindpenn,Kickxellomycota
OUT,Macrolepiota fuliginosa,,Macrolepiota_fuliginosa.Macfu1.v1.aa.fasta,Macrolepiota_fuliginosa.Macfu1.v1.fasta,Macrfuli,Basidiomycota
OUT,Martensiomyces pterosporus,CBS_209,Martensiomyces_pterosporus_CBS_209.56.Marpt1.v1.aa.fasta,Martensiomyces_pterosporus_CBS_209.56.Marpt1.v1.fasta,Martpter,Kickxellomycota
OUT,Piptocephalis cylindrospora,,Piptocephalis_cylindrospora.Pipcy2.v2.aa.fasta,Piptocephalis_cylindrospora.Pipcy2.v2.fasta,Piptcyli,Zoopagomycota
OUT,Puccinia graminis,f,Puccinia_graminis_f._sp._tritici_CRL_75-36-700-3.aa.fasta,Puccinia_graminis_f._sp._tritici_CRL_75-36-700-3.fasta,Puccgram,Basidiomycota
OUT,Puccinia striiformis,f_sp_tritici_PST-130,Puccinia_striiformis_f_sp_tritici_PST-130.Pucst1.aa.fasta,Puccinia_striiformis_f_sp_tritici_PST-130.Pucst1.fasta,Puccstri,Basidiomycota
OUT,Ramicandelaber brevisporus,CBS_109374,Ramicandelaber_brevisporus_CBS_109374.Rambr1.v1.aa.fasta,Ramicandelaber_brevisporus_CBS_109374.Rambr1.v1.fasta,Ramibrev,Kickxellomycota
OUT,Rhizopus delemar,RA_99-880,Rhizopus_delemar_RA_99-880.aa.fasta,Rhizopus_delemar_RA_99-880.fasta,Rhizdele,Mucoromycota
OUT,Rhizophagus irregularis,DAOM_181602,Rhizophagus_irregularis_DAOM_181602.Gloin1.v1.aa.fasta,Rhizophagus_irregularis_DAOM_181602.Gloin1.v1.fasta,Rhizirre,Glomeromycota
OUT,Rhizopus microsporus,var_microsporus_ATCC_52813,Rhizopus_microsporus_var_microsporus_ATCC_52813.Rhimi1_1.v1.aa.fasta,Rhizopus_microsporus_var_microsporus_ATCC_52813.Rhimi1_1.v1.fasta,Rhizmic2,Mucoromycota
OUT,Rhizopus microsporus,var_chinensis_CCTCC_M201021,Rhizopus_microsporus_var_chinensis_CCTCC_M201021.Rhich1.aa.fasta,Rhizopus_microsporus_var_chinensis_CCTCC_M201021.Rhich1.fasta,Rhizmicr,Mucoromycota
OUT,Rozella allomycis,CSF55,Rozella_allomycis_CSF55.aa.fasta,Rozella_allomycis_CSF55.fasta,Rozeallo,Rozellomycota
OUT,Spizellomyces punctatus,DAOM_BR117,Spizellomyces_punctatus_DAOM_BR117.v1.aa.fasta,Spizellomyces_punctatus_DAOM_BR117.v1.fasta,Spizpunc,Chytridiomycota
