GROUP,Species,Strain,Protein,DNA,Short,TaxonGroup
IN,Amniculicola lignicola,CBS_123094,Amniculicola_lignicola_CBS_123094.Amnli1.v1.aa.fasta,Amniculicola_lignicola_CBS_123094.Amnli1.v1.fasta,Amnilign,Amniculicolaceae
IN,Amorphotheca resinae,ATCC_22711,Amorphotheca_resinae_ATCC_22711.Amore1.v1.aa.fasta,Amorphotheca_resinae_ATCC_22711.Amore1.v1.fasta,Amorresi,Amorphothecaceae
IN,Aplosporella prunicola,CBS_121,Aplosporella_prunicola_CBS_121.167.Aplpr1.v1.aa.fasta,Aplosporella_prunicola_CBS_121.167.Aplpr1.v1.fasta,Aploprun,Aplosporellaceae
IN,Ascosphaera apis,ARSEF_7405,Ascosphaera_apis_ARSEF_7405.v1.aa.fasta,Ascosphaera_apis_ARSEF_7405.v1.fasta,Ascoapis,Ascosphaeraceae
IN,Ascobolus immersus,RN42,Ascobolus_immersus_RN42.Ascim1.v1.aa.fasta,Ascobolus_immersus_RN42.Ascim1.v1.fasta,Ascoimme,Ascobolaceae
IN,Ascodesmis nigricans,CBS_389,Ascodesmis_nigricans_CBS_389.68.Ascni1.v1.aa.fasta,Ascodesmis_nigricans_CBS_389.68.Ascni1.v1.fasta,Asconigr,Ascodesmidaceae
IN,Ascocoryne sarcoides,NRRL_50072,Ascocoryne_sarcoides_NRRL_50072.Ascsa1.aa.fasta,Ascocoryne_sarcoides_NRRL_50072.Ascsa1.fasta,Ascosarc,Gelatinodiscaceae
IN,Aspergillus fumigatus,Af293,Aspergillus_fumigatus_Af293.aa.fasta,Aspergillus_fumigatus_Af293.fasta,Aspefumi,Aspergillaceae
IN,Aspergillus niger,ATCC_1015,Aspergillus_niger_ATCC_1015.Aspni7.v4.aa.fasta,Aspergillus_niger_ATCC_1015.Aspni7.v4.fasta,Aspenige,Aspergillaceae
IN,Aulographum hederae,CBS_113979,Aulographum_hederae_CBS_113979.Aulhe2.v2.aa.fasta,Aulographum_hederae_CBS_113979.Aulhe2.v2.fasta,Aulohede,Aulographaceae
IN,Aureobasidium pullulans,var_pullulans_EXF-150,Aureobasidium_pullulans_var_pullulans_EXF-150.Aurpu_var_pul1.aa.fasta,Aureobasidium_pullulans_var_pullulans_EXF-150.Aurpu_var_pul1.fasta,Aurepull,Saccotheciaceae
IN,Beauveria bassiana,ARSEF_2860,Beauveria_bassiana_ARSEF_2860.Beaba1.aa.fasta,Beauveria_bassiana_ARSEF_2860.Beaba1.fasta,Beaubass,Cordycipitaceae
IN,Bimuria novae-zelandiae,CBS_107,Bimuria_novae-zelandiae_CBS_107.79.Bimnz1.v1.aa.fasta,Bimuria_novae-zelandiae_CBS_107.79.Bimnz1.v1.fasta,Bimunova,Didymosphaeriaceae
IN,Blumeria graminis,f_sp_hordei_DH14,Blumeria_graminis_f_sp_hordei_DH14.Blugr1.aa.fasta,Blumeria_graminis_f_sp_hordei_DH14.Blugr1.fasta,Blumgram,Erysiphaceae
IN,Botrytis cinerea,B05,Botrytis_cinerea_B05.10.aa.fasta,Botrytis_cinerea_B05.10.fasta,Botrcine,Sclerotiniaceae
IN,Botryosphaeria dothidea,CBS_115476,Botryosphaeria_dothidea_CBS_115476.Botdo1_1.aa.fasta,Botryosphaeria_dothidea_CBS_115476.Botdo1_1.fasta,Botrdoth,Botryosphaeriaceae
IN,Byssothecium circinans,CBS_675,Byssothecium_circinans_CBS_675.92.Bysci1.v1.aa.fasta,Byssothecium_circinans_CBS_675.92.Bysci1.v1.fasta,Bysscirc,Massarinaceae
IN,Capronia coronata,CBS_617,Capronia_coronata_CBS_617.96.aa.fasta,Capronia_coronata_CBS_617.96.fasta,Caprcoro,Herpotrichiellaceae
IN,Cenococcum geophilum,1,Cenococcum_geophilum_1.58.Cenge3.v2.aa.fasta,Cenococcum_geophilum_1.58.Cenge3.v2.fasta,Cenogeop,Gloniaceae
IN,Chaetomium globosum,CBS_148,Chaetomium_globosum_CBS_148.51.aa.fasta,Chaetomium_globosum_CBS_148.51.fasta,Chaeglob,Chaetomiaceae
IN,Choiromyces venosus,120613-1,Choiromyces_venosus_120613-1.Chove1.v1.aa.fasta,Choiromyces_venosus_120613-1.Chove1.v1.fasta,Choiveno,Tuberaceae
IN,Cladonia grayi,Cgr-DA2myc-ss,Cladonia_grayi_Cgr-DA2myc-ss.Clagr3.v2.aa.fasta,Cladonia_grayi_Cgr-DA2myc-ss.Clagr3.v2.fasta,Cladgray,Cladoniaceae
IN,Cladosporium sphaerospermum,UM_843,Cladosporium_sphaerospermum_UM_843.aa.fasta,Cladosporium_sphaerospermum_UM_843.fasta,Cladspha,Cladosporiaceae
IN,Clathrospora elynae,CBS_161,Clathrospora_elynae_CBS_161.51.Clael1.v1.aa.fasta,Clathrospora_elynae_CBS_161.51.Clael1.v1.fasta,Clatelyn,Diademaceae
IN,Claviceps purpurea,20,Claviceps_purpurea_20.1.aa.fasta,Claviceps_purpurea_20.1.fasta,Clavpurp,Clavicipitaceae
IN,Clonostachys rosea,CBS_125111,Clonostachys_rosea_CBS_125111.Cloro1.v1.aa.fasta,Clonostachys_rosea_CBS_125111.Cloro1.v1.fasta,Clonrose,Bionectriaceae
IN,Coccidioides immitis,RS,Coccidioides_immitis_RS.aa.fasta,Coccidioides_immitis_RS.fasta,Coccimmi,Onygenaceae
IN,Colletotrichum graminicola,M1,Colletotrichum_graminicola_M1.001.v1.aa.fasta,Colletotrichum_graminicola_M1.001.v1.fasta,Collgram,Glomerellaceae
IN,Colletotrichum higginsianum,IMI_349063,Colletotrichum_higginsianum_IMI_349063.v1.aa.fasta,Colletotrichum_higginsianum_IMI_349063.v1.fasta,Collhigg,Glomerellaceae
IN,Coniochaeta ligniaria,CBS_111746,Coniochaeta_ligniaria_CBS_111746.aa.fasta,Coniochaeta_ligniaria_CBS_111746.fasta,Conilign,Coniochaetaceae
IN,Cordyceps militaris,CM01,Cordyceps_militaris_CM01.Cormi1.aa.fasta,Cordyceps_militaris_CM01.Cormi1.fasta,Cordmili,Cordycipitaceae
IN,Corynespora cassiicola,CCP,Corynespora_cassiicola_CCP.Corca1.v1.aa.fasta,Corynespora_cassiicola_CCP.Corca1.v1.fasta,Corycass,Corynesporascaceae
IN,Cryphonectria parasitica,EP155,Cryphonectria_parasitica_EP155.Crypa2.v2.aa.fasta,Cryphonectria_parasitica_EP155.Crypa2.v2.fasta,Cryppara,Cryphonectriaceae
IN,Cucurbitaria berberidis,CBS_394,Cucurbitaria_berberidis_CBS_394.84.Cucbe1.v1.aa.fasta,Cucurbitaria_berberidis_CBS_394.84.Cucbe1.v1.fasta,Cucuberb,Cucurbitariaceae
IN,Cyphellophora europaea,CBS_101466,Cyphellophora_europaea_CBS_101466.aa.fasta,Cyphellophora_europaea_CBS_101466.fasta,Cypheuro,Cyphellophoraceae
IN,Delitschia confertaspora,ATCC_74209,Delitschia_confertaspora_ATCC_74209.Delco1.v1.aa.fasta,Delitschia_confertaspora_ATCC_74209.Delco1.v1.fasta,Deliconf,Delitschiaceae
IN,Dibaeis baeomyces,1,Dibaeis_baeomyces.v0_1.aa.fasta,Dibaeis_baeomyces.v0_1.fasta,Dibabaeo,Icmadophilaceae
IN,Didymella exigua,CBS_183,Didymella_exigua_CBS_183.55.Didex1.v1.aa.fasta,Didymella_exigua_CBS_183.55.Didex1.v1.fasta,Didyexig,Didymellaceae
IN,Dissoconium aciculare,CBS_342,Dissoconium_aciculare_CBS_342.82.Disac1.v1.aa.fasta,Dissoconium_aciculare_CBS_342.82.Disac1.v1.fasta,Dissacic,Dissoconiaceae
IN,Dothistroma septosporum,NZE10,Dothistroma_septosporum_NZE10.Dotse1.v1.aa.fasta,Dothistroma_septosporum_NZE10.Dotse1.v1.fasta,Dothsept,Mycosphaerellaceae
IN,Dothidotthia symphoricarpi,CBS_119687,Dothidotthia_symphoricarpi_CBS_119687.Dotsy1.v1.aa.fasta,Dothidotthia_symphoricarpi_CBS_119687.Dotsy1.v1.fasta,Dothsymp,Dothidotthiaceae
IN,Epichloe festucae,E894,Epichloe_festucae_E894.vM3.aa.fasta,Epichloe_festucae_E894.vM3.fasta,Epicfest,Clavicipitaceae
IN,Eremomyces bilateralis,CBS_781,Eremomyces_bilateralis_CBS_781.70.Erebi1.v1.aa.fasta,Eremomyces_bilateralis_CBS_781.70.Erebi1.v1.fasta,Erembila,Eremomycetaceae
IN,Eutypa lata,UCREL1,Eutypa_lata_UCREL1.v1.aa.fasta,Eutypa_lata_UCREL1.v1.fasta,Eutylata,Diatrypaceae
