Batrachochytrium dendrobatidis	Batrdend
Spizellomyces punctatus	Spizpunc
Synchytrium endobioticum	Syncendo
Chytriomyces hyalinus	Chythyal
Catenaria anguillulae	Cateangu
Paraphysoderma sedebokerense	Parasede
Drosophila melanogaster	Drosmela
Caenorhabditis elegans	Caeneleg
Mus musculus	Musmusc
Monosiga brevicollis	Monobrev
Saccharomyces cerevisiae	Sacccere
Neurospora crassa	Neurcras
Aspergillus nidulans	Aspenidu
Schizosaccharomyces pombe	Schipomb
Coprinopsis cinerea	Coprcine
