Cryptococcus neoformans	Crypneof
Cryptococcus amylolentus	Crypamyl
Cryptococcus bacillisporus	Crypbaci
Cryptococcus deneoformans	Crypdene
Saccharomyces cerevisiae	Sacccere
Neurospora crassa	Neurcras
Aspergillus nidulans	Aspenidu
Schizosaccharomyces pombe	Schipomb
Coprinopsis cinerea	Coprcine
