Mucor circinelloides	Mucocirc
Mucor irregularis	Mucoirre
Mucor lusitanicus	Mucolusi
Mucor racemosus	Mucorace
Neurospora crassa	Neurcras
Aspergillus nidulans	Aspenidu
Coprinopsis cinerea	Coprcine
