locus	family_label	Ci_carriers	Ci_resolved	Ci_frac	Cp_carriers	Cp_resolved	Cp_frac	fisher_p	bh_q	poly_within	poly_between	family_class	modal_architecture	home_locus
L002	H086	1	168	0.006	0	358	0.0	0.3193916349809886	0.49126351231614385	False	False	NLR_accessory_only	NPHP3_N	L002
L003	H018	166	167	0.994	356	356	1.0	0.3193116634799235	0.49126351231614385	False	False	Het-C	Het-C	L003
L003	H020	4	167	0.024	117	356	0.3287	6.8664821356875385e-18	3.5619876078879107e-17	True	True	Het-C	Het-C	L003
L003	H022	1	167	0.006	0	356	0.0	0.3193116634799235	0.49126351231614385	False	False	Het-C	Het-C	L003
L003	H050	0	167	0.0	1	356	0.0028	1.0	1.0	False	False	NLR_accessory_only	NPHP3_N-WHD	L005
L004	H026	1	168	0.006	346	360	0.9611	9.605347989330912e-120	7.972438831144657e-118	False	True	NLR_NOD	PNP_UDP-NPHP3_N-NACHT-WHD-Ank	L004
L004	H027	161	168	0.9583	7	360	0.0194	9.666715014467603e-117	4.011686731004055e-115	False	True	NLR_NOD	PNP_UDP-NPHP3_N-NACHT-WHD	L004
L004	H037	3	168	0.0179	7	360	0.0194	1.0	1.0	False	False	NLR_NOD	PNP_UDP-NPHP3_N-NACHT	L004
L004	H062	0	168	0.0	7	360	0.0194	0.10335403801460477	0.225746977768742	False	False	NLR_accessory_only	WHD-Ank	L004
L004	H063	5	168	0.0298	0	360	0.0	0.0031299742227827243	0.008958202085895383	False	True	NLR_accessory_only	WHD	L004
L004	H071	2	168	0.0119	0	360	0.0	0.10082801449025357	0.225746977768742	False	False	NLR_accessory_only	PNP_UDP-NPHP3_N	L004
L004	H074	1	168	0.006	0	360	0.0	0.3181818181818182	0.49126351231614385	False	False	NLR_accessory_only	NPHP3_N-WHD	L004
L005	H025	0	169	0.0	1	358	0.0028	1.0	1.0	False	False	NLR_NOD	Patatin-NB-ARC-TPR	L008
L005	H041	2	169	0.0118	0	358	0.0	0.10242350343792612	0.225746977768742	False	False	NLR_NOD	NPHP3_N-NACHT-WHD	L005
L005	H050	52	169	0.3077	187	358	0.5223	3.98234409298195e-06	1.573974093892866e-05	True	True	NLR_accessory_only	NPHP3_N-WHD	L005
L005	H052	45	169	0.2663	82	358	0.2291	0.38298786717608835	0.5480688444071609	True	False	NLR_accessory_only	NPHP3_N-WHD	L005
L005	H054	37	169	0.2189	71	358	0.1983	0.6438764785874859	0.8619636729477634	True	False	NLR_accessory_only	NPHP3_N-WHD	L005
L005	H057	33	169	0.1953	0	358	0.0	4.915466976216042e-18	2.7198917268395434e-17	True	True	NLR_accessory_only	NPHP3_N-WHD	L005
L005	H059	0	169	0.0	14	358	0.0391	0.006686683352975171	0.018499823943231308	False	True	NLR_accessory_only	NPHP3_N-WHD	L005
L005	H069	0	169	0.0	3	358	0.0084	0.5547503986262725	0.7548243128849281	False	False	NLR_accessory_only	NPHP3_N-WHD	L005
L005	H072	0	169	0.0	1	358	0.0028	1.0	1.0	False	False	NLR_accessory_only	WHD	L005
L005	H077	0	169	0.0	1	358	0.0028	1.0	1.0	False	False	NLR_accessory_only	NPHP3_N	L005
L006	H047	100	167	0.5988	263	359	0.7326	0.002381192228747977	0.007058534106645789	True	True	NLR_accessory_only	NPHP3_N-WHD	L006
L006	H048	0	167	0.0	2	359	0.0056	1.0	1.0	False	False	NLR_accessory_only	NPHP3_N	L001
L006	H051	66	167	0.3952	92	359	0.2563	0.0015190642260310447	0.004669715954095433	True	True	NLR_accessory_only	NPHP3_N-WHD	L006
L006	H053	0	167	0.0	2	359	0.0056	1.0	1.0	False	False	NLR_accessory_only	NPHP3_N	L001
L006	H065	0	167	0.0	4	359	0.0111	0.3125382512838708	0.49126351231614385	False	False	NLR_accessory_only	NPHP3_N-WHD	L006
L006	H075	1	167	0.006	0	359	0.0	0.31749049429657794	0.49126351231614385	False	False	NLR_accessory_only	NPHP3_N-WHD	L006
L007	H001	165	166	0.994	253	358	0.7067	1.0998046672407709e-18	6.520270527213142e-18	True	True	HET_domain	HET-Het6_barrel	L007
L007	H003	0	166	0.0	61	358	0.1704	1.848271554189055e-11	8.522585499871754e-11	True	True	HET_domain	HET-Het6_barrel	L007
L007	H004	0	166	0.0	29	358	0.081	1.5185958867465454e-05	5.480150373911446e-05	True	True	HET_domain	HET-Het6_barrel	L007
L007	H005	0	166	0.0	13	358	0.0363	0.012088357246538705	0.030490825631894997	False	True	HET_domain	HET-Het6_barrel	L007
L007	H006	1	166	0.006	2	358	0.0056	1.0	1.0	False	False	HET_domain	HET-Het6_barrel	L007
L008	H002	0	158	0.0	1	258	0.0039	1.0	1.0	False	False	HET_domain	HET	L011
L008	H025	18	158	0.1139	256	258	0.9922	1.8368709632567927e-87	3.049205799006276e-86	True	True	NLR_NOD	Patatin-NB-ARC-TPR	L008
L008	H028	140	158	0.8861	0	258	0.0	2.0982570661120093e-91	4.353883412182419e-90	True	True	NLR_NOD	NB-ARC-TPR	L008
L009	H019	166	167	0.994	345	346	0.9971	0.5455272295321637	0.7546460008528265	False	False	Het-C	Het-C	L009
L009	H021	0	167	0.0	1	346	0.0029	1.0	1.0	False	False	Het-C	Het-C	L014
L009	H024	1	167	0.006	0	346	0.0	0.3255360623781676	0.49126351231614385	False	False	Het-C	Het-C	L009
L010	H046	167	167	1.0	355	355	1.0	1.0	1.0	False	False	NLR_accessory_only	NPHP3_N-WHD	L010
L012	H028	1	111	0.009	0	186	0.0	0.3737373737373737	0.5442140705298599	False	False	NLR_NOD	NB-ARC-TPR	L008
L012	H036	2	111	0.018	12	186	0.0645	0.08953529437221558	0.2185714539086439	True	False	NLR_NOD	Patatin-NB-ARC	L012
L012	H038	3	111	0.027	5	186	0.0269	1.0	1.0	False	False	NLR_NOD	NB-ARC	L012
L013	H040	0	97	0.0	4	173	0.0231	0.3002309505616454	0.49126351231614385	False	False	NLR_NOD	NB-ARC	L013
L013	H045	1	97	0.0103	0	173	0.0	0.3592592592592593	0.532473544973545	False	False	NLR_NOD	NB-ARC	L013
