locus	family_label	Ci_carriers	Ci_resolved	Ci_frac	Cp_carriers	Cp_resolved	Cp_frac	fisher_p	bh_q	poly_within	poly_between	family_class	modal_architecture	home_locus
L001	H005	0	169	0.0	1	355	0.0028	1.0	1.0	False	False	HET_domain	HET-Het6_barrel	L007
L001	H029	115	169	0.6805	10	355	0.0282	1.1343282312313377e-60	1.3449891884600148e-59	True	True	NLR_NOD	NB-ARC	L001
L001	H030	0	169	0.0	102	355	0.2873	2.693035235307273e-20	1.862682704420864e-19	True	True	NLR_NOD	NB-ARC	L001
L001	H031	0	169	0.0	95	355	0.2676	9.67073398747883e-19	6.174391699698022e-18	True	True	NLR_NOD	NB-ARC	L001
L001	H032	0	169	0.0	76	355	0.2141	1.4553039520004588e-14	7.105307530355181e-14	True	True	NLR_NOD	NB-ARC	L001
L001	H033	51	169	0.3018	0	355	0.0	2.323718813157747e-28	1.92868661492093e-27	True	True	NLR_NOD	NB-ARC	L001
L001	H034	0	169	0.0	34	355	0.0958	1.434599549117032e-06	5.953588128835683e-06	True	True	NLR_NOD	NB-ARC	L001
L001	H035	0	169	0.0	28	355	0.0789	2.7369993482468643e-05	9.46545607935374e-05	True	True	NLR_NOD	NB-ARC	L001
L001	H039	0	169	0.0	5	355	0.0141	0.1808185574071654	0.3699537393553052	False	False	NLR_NOD	NB-ARC	L001
L001	H042	0	169	0.0	2	355	0.0056	1.0	1.0	False	False	NLR_NOD	NB-ARC	L001
L001	H043	0	169	0.0	1	355	0.0028	1.0	1.0	False	False	NLR_NOD	NB-ARC	L001
L001	H044	1	169	0.0059	0	355	0.0	0.32251908396946566	0.49126351231614385	False	False	NLR_NOD	NB-ARC	L001
L001	H048	41	169	0.2426	105	355	0.2958	0.21288425881855563	0.4109161274869795	True	False	NLR_accessory_only	NPHP3_N	L001
L001	H053	24	169	0.142	36	355	0.1014	0.18752754643719582	0.3705901512925537	True	False	NLR_accessory_only	NPHP3_N	L001
L001	H060	0	169	0.0	5	355	0.0141	0.1808185574071654	0.3699537393553052	False	False	NLR_accessory_only	NPHP3_N	L001
L001	H061	2	169	0.0118	1	355	0.0028	0.24451371004177241	0.4612417712151616	False	False	NLR_accessory_only	NPHP3_N	L001
L001	H066	0	169	0.0	1	355	0.0028	1.0	1.0	False	False	NLR_accessory_only	NPHP3_N	L001
L001	H067	1	169	0.0059	0	355	0.0	0.32251908396946566	0.49126351231614385	False	False	NLR_accessory_only	NPHP3_N	L001
L001	H068	0	169	0.0	1	355	0.0028	1.0	1.0	False	False	NLR_accessory_only	NPHP3_N	L001
L001	H078	1	169	0.0059	0	355	0.0	0.32251908396946566	0.49126351231614385	False	False	NLR_accessory_only	NPHP3_N	L001
L002	H009	0	168	0.0	130	358	0.3631	2.96927673669567e-26	2.240454264961278e-25	True	True	HeLo_SesA_Goodbye_HETs	Goodbye	L002
L002	H010	58	168	0.3452	0	358	0.0	6.335852667290072e-33	5.843064126500843e-32	True	True	HeLo_SesA_Goodbye_HETs	Goodbye	L002
L002	H011	0	168	0.0	32	358	0.0894	4.831755539000775e-06	1.8228895897139287e-05	True	True	HeLo_SesA_Goodbye_HETs	Goodbye	L002
L002	H012	20	168	0.119	1	358	0.0028	8.210765020843628e-10	3.5868078775264272e-09	True	True	HeLo_SesA_Goodbye_HETs	Goodbye	L002
L002	H013	0	168	0.0	13	358	0.0363	0.012122858383765481	0.030490825631894997	False	True	HeLo_SesA_Goodbye_HETs	Goodbye	L002
L002	H014	8	168	0.0476	0	358	0.0	9.645687263959918e-05	0.00030792001650333585	False	True	HeLo_SesA_Goodbye_HETs	Goodbye	L002
L002	H015	1	168	0.006	6	358	0.0168	0.4392298016175073	0.6178995514280188	False	False	HeLo_SesA_Goodbye_HETs	Goodbye	L002
L002	H016	4	168	0.0238	0	358	0.0	0.010154060851264165	0.0271866790533847	False	True	HeLo_SesA_Goodbye_HETs	Goodbye	L002
L002	H017	2	168	0.0119	0	358	0.0	0.10159695817490494	0.225746977768742	False	False	HeLo_SesA_Goodbye_HETs	Goodbye	L002
L002	H049	0	168	0.0	315	358	0.8799	3.142638322681287e-97	8.69463269275156e-96	True	True	NLR_accessory_only	NPHP3_N	L002
L002	H055	98	168	0.5833	0	358	0.0	7.237307729779523e-61	1.0011609026195006e-59	True	True	NLR_accessory_only	NPHP3_N	L002
L002	H056	61	168	0.3631	0	358	0.0	8.055627168718945e-35	8.357713187545905e-34	True	True	NLR_accessory_only	NPHP3_N	L002
L002	H058	0	168	0.0	26	358	0.0726	4.5613868333558864e-05	0.00015143804286741542	True	True	NLR_accessory_only	NPHP3_N	L002
L002	H064	0	168	0.0	5	358	0.014	0.18274823269358448	0.3699537393553052	False	False	NLR_accessory_only	NPHP3_N	L002
L002	H073	0	168	0.0	1	358	0.0028	1.0	1.0	False	False	NLR_accessory_only	NPHP3_N	L002
L002	H076	0	168	0.0	1	358	0.0028	1.0	1.0	False	False	NLR_accessory_only	NPHP3_N	L002
L002	H079	0	168	0.0	1	358	0.0028	1.0	1.0	False	False	NLR_accessory_only	NPHP3_N	L002
L002	H080	0	168	0.0	1	358	0.0028	1.0	1.0	False	False	NLR_accessory_only	NPHP3_N	L002
