species	families	site	FK_008059	FK_005983	FK_002404	n	FK_006853
Ci	H050	L005	48.0	0.0	0.0	52	
Ci	H052	L005	0.0	45.0	0.0	45	
Ci	H054	L005	0.0	0.0	37.0	37	
Ci	H057	L005	0.0	33.0	1.0	33	
Cp	H050	L005	186.0	0.0	5.0	187	
Cp	H052	L005	0.0	82.0	0.0	82	
Cp	H054	L005	0.0	0.0	71.0	71	
Cp	H059	L005	13.0	0.0	0.0	13	
Ci	H047	L006				100	100.0
Ci	H051	L006				66	0.0
Cp	H047	L006				262	253.0
Cp	H051	L006				92	2.0
