site	family_label	Ci_carriers	Ci_resolved	Ci_frac	Cp_carriers	Cp_resolved	Cp_frac	fisher_p	bh_q	poly_within	poly_between
L001a	H029	111	161	0.6894	10	352	0.0284	4.826484468571292e-60	5.378082693550868e-59	True	True
L001a	H030	0	161	0.0	101	352	0.2869	2.6048837446789866e-19	1.6931744340413413e-18	True	True
L001a	H031	0	161	0.0	94	352	0.267	4.924516967970215e-18	2.5607488233445116e-17	True	True
L001a	H032	0	161	0.0	76	352	0.2159	3.083173018765418e-14	1.4146323262570741e-13	True	True
L001a	H033	48	161	0.2981	0	352	0.0	2.7037717496266105e-27	2.1089419647087562e-26	True	True
L001a	H034	0	161	0.0	34	352	0.0966	2.943197251509677e-06	1.1478469280887742e-05	True	True
L001a	H035	0	161	0.0	28	352	0.0795	2.7308722079998743e-05	8.875334675999592e-05	True	True
L001a	H039	0	161	0.0	5	352	0.0142	0.33158892407090945	0.47025338322783516	False	False
L001a	H042	0	161	0.0	2	352	0.0057	1.0	1.0	False	False
L001a	H043	0	161	0.0	1	352	0.0028	1.0	1.0	False	False
L001a	H044	1	161	0.0062	0	352	0.0	0.3138401559454191	0.47025338322783516	False	False
L001b	H048	100	156	0.641	219	331	0.6616	0.6833386776762282	0.8328190134179032	True	False
L001b	H053	41	156	0.2628	78	331	0.2356	0.572157836849853	0.7198114721659441	True	False
L001b	H060	1	156	0.0064	11	331	0.0332	0.11444784595860166	0.21773004840904706	False	False
L001b	H061	8	156	0.0513	3	331	0.0091	0.006183986207582986	0.016078364139715765	True	True
L001b	H066	0	156	0.0	4	331	0.0121	0.3111511254147635	0.47025338322783516	False	False
L001b	H067	3	156	0.0192	0	331	0.0	0.03243919349961674	0.07229305979914588	False	False
L001b	H068	0	156	0.0	3	331	0.0091	0.5546711638923583	0.7093529687352337	False	False
L001b	H070	1	156	0.0064	1	331	0.003	0.5384946890764823	0.7093529687352337	False	False
L001b	H078	1	156	0.0064	0	331	0.0	0.3203285420944559	0.47025338322783516	False	False
L001b	H083	0	156	0.0	1	331	0.003	1.0	1.0	False	False
L001b	H085	0	156	0.0	1	331	0.003	1.0	1.0	False	False
L002	H009	0	167	0.0	130	358	0.3631	2.8491377422570773e-26	2.0202976717822911e-25	True	True
L002	H010	57	167	0.3413	0	358	0.0	1.9837252994015343e-32	1.719228592814663e-31	True	True
