site	family_label	Ci_carriers	Ci_resolved	Ci_frac	Cp_carriers	Cp_resolved	Cp_frac	fisher_p	bh_q	poly_within	poly_between
L002	H011	0	167	0.0	32	358	0.0894	4.849514017656268e-06	1.719373151714495e-05	True	True
L002	H012	20	167	0.1198	1	358	0.0028	7.53310060431627e-10	3.092536037561416e-09	True	True
L002	H013	0	167	0.0	13	358	0.0363	0.012101467985247638	0.027762191260273992	False	True
L002	H014	8	167	0.0479	0	358	0.0	9.328243244793009e-05	0.0002798472973437903	False	True
L002	H015	1	167	0.006	6	358	0.0168	0.439916361337063	0.5916116583498433	False	False
L002	H016	4	167	0.024	0	358	0.0	0.009988253800326717	0.024346368638296374	False	True
L002	H017	2	167	0.012	0	358	0.0	0.10077062886223188	0.20154037412847933	False	False
L002	H049	0	167	0.0	315	358	0.8799	7.834254775973257e-97	2.0369062417530467e-95	True	True
L002	H055	97	167	0.5808	0	358	0.0	2.2659665868238273e-60	2.9457565628709756e-59	True	True
L002	H056	61	167	0.3653	0	358	0.0	5.803722584611361e-35	5.658629519996077e-34	True	True
L002	H058	0	167	0.0	26	358	0.0726	4.6523878984053554e-05	0.00014515450243024708	True	True
L002	H064	0	167	0.0	5	358	0.014	0.18356920649492958	0.34091424063344067	False	False
L002	H073	0	167	0.0	1	358	0.0028	1.0	1.0	False	False
L002	H076	0	167	0.0	1	358	0.0028	1.0	1.0	False	False
L002	H079	0	167	0.0	1	358	0.0028	1.0	1.0	False	False
L002	H080	0	167	0.0	1	358	0.0028	1.0	1.0	False	False
L002	H086	1	167	0.006	0	358	0.0	0.31809523809523804	0.47025338322783516	False	False
L003	H018	166	167	0.994	356	356	1.0	0.3193116634799235	0.47025338322783516	False	False
L003	H020	4	167	0.024	117	356	0.3287	6.8664821356875385e-18	3.347410041147675e-17	True	True
L003	H022	1	167	0.006	0	356	0.0	0.3193116634799235	0.47025338322783516	False	False
L004	H026	1	168	0.006	346	360	0.9611	9.605347989330912e-120	7.492171431678112e-118	False	True
L004	H027	161	168	0.9583	7	360	0.0194	9.666715014467603e-117	3.770018855642365e-115	False	True
L004	H037	3	168	0.0179	7	360	0.0194	1.0	1.0	False	False
L004	H062	0	168	0.0	7	360	0.0194	0.10335403801460477	0.20154037412847933	False	False
L004	H063	5	168	0.0298	0	360	0.0	0.0031299742227827243	0.008418551357829396	False	True
L004	H071	2	168	0.0119	0	360	0.0	0.10082801449025357	0.20154037412847933	False	False
L004	H074	1	168	0.006	0	360	0.0	0.3181818181818182	0.47025338322783516	False	False
L005	H041	2	169	0.0118	0	358	0.0	0.10242350343792612	0.20154037412847933	False	False
L005	H050	52	169	0.3077	187	358	0.5223	3.98234409298195e-06	1.4791563773932958e-05	True	True
L005	H052	45	169	0.2663	82	358	0.2291	0.38298786717608835	0.5240886603462261	True	False
L005	H054	37	169	0.2189	71	358	0.1983	0.6438764785874859	0.7971804020606967	True	False
L005	H057	33	169	0.1953	0	358	0.0	4.915466976216042e-18	2.5607488233445116e-17	True	True
L005	H059	0	169	0.0	14	358	0.0391	0.006686683352975171	0.01682455811393753	False	True
L005	H069	0	169	0.0	3	358	0.0084	0.5547503986262725	0.7093529687352337	False	False
L005	H072	0	169	0.0	1	358	0.0028	1.0	1.0	False	False
L005	H077	0	169	0.0	1	358	0.0028	1.0	1.0	False	False
L006	H047	100	167	0.5988	262	358	0.7318	0.0024260682816157775	0.0067583330702153804	True	True
L006	H051	66	167	0.3952	92	358	0.257	0.0015461215429800812	0.0044665733463869015	True	True
L006	H065	0	167	0.0	4	358	0.0112	0.31226631319178566	0.47025338322783516	False	False
L006	H075	1	167	0.006	0	358	0.0	0.31809523809523804	0.47025338322783516	False	False
L007	H001	165	166	0.994	253	358	0.7067	1.0998046672407709e-18	6.598828003444625e-18	True	True
L007	H003	0	166	0.0	61	358	0.1704	1.848271554189055e-11	8.009176734819238e-11	True	True
L007	H004	0	166	0.0	29	358	0.081	1.5185958867465454e-05	5.150020833314371e-05	True	True
L007	H005	0	166	0.0	13	358	0.0363	0.012088357246538705	0.027762191260273992	False	True
L007	H006	1	166	0.006	2	358	0.0056	1.0	1.0	False	False
L008	H025	18	158	0.1139	256	257	0.9961	4.169444128019315e-89	6.504332839710131e-88	True	True
L008	H028	140	158	0.8861	0	257	0.0	3.1625903605166514e-91	6.16705120300747e-90	True	True
L009	H019	166	167	0.994	345	345	1.0	0.326171875	0.47025338322783516	False	False
L009	H024	1	167	0.006	0	345	0.0	0.326171875	0.47025338322783516	False	False
L010	H046	167	167	1.0	355	355	1.0	1.0	1.0	False	False
L012	H036	2	110	0.0182	12	186	0.0645	0.09003027565502716	0.19506559725255884	True	False
L012	H038	3	110	0.0273	5	186	0.0269	1.0	1.0	False	False
L013	H040	0	97	0.0	4	173	0.0231	0.3002309505616454	0.47025338322783516	False	False
L013	H045	1	97	0.0103	0	173	0.0	0.3592592592592593	0.5003968253968254	False	False
