locus	species	n_occupied	n_combinations	top_combination	top_frac	simpson
L001	Ci	169	12	H029	0.355	0.761
L001	Cp	355	29	H030	0.183	0.903
L002	Ci	168	13	H056	0.345	0.748
L002	Cp	356	15	H049	0.48	0.65
L003	Ci	167	3	H018	0.97	0.058
L003	Cp	356	3	H018	0.671	0.443
L004	Ci	168	5	H027	0.958	0.081
L004	Cp	360	3	H026	0.961	0.076
L005	Ci	169	5	H050	0.308	0.748
L005	Cp	358	8	H050	0.522	0.635
L006	Ci	167	3	H047	0.599	0.485
L006	Cp	359	5	H047	0.727	0.408
L007	Ci	166	2	H001	0.994	0.012
L007	Cp	358	5	H001	0.707	0.464
L008	Ci	158	2	H028	0.886	0.202
L008	Cp	257	2	H025	0.996	0.008
L009	Ci	167	2	H019	0.994	0.012
L009	Cp	346	2	H019	0.997	0.006
L010	Ci	167	1	H046	1.0	0.0
L010	Cp	355	1	H046	1.0	0.0
L012	Ci	6	3	H038	0.5	0.611
L012	Cp	17	2	H036	0.706	0.415
L013	Ci	1	1	H045	1.0	0.0
L013	Cp	4	1	H040	1.0	0.0
