het_class	n	relaxed_NOD	relaxed_NACHT_or_NBARC	median_len
HET_domain	807	0	0	2074.0
HeLo_SesA_Goodbye_HETs	277	0	0	237.0
Het-C	1175	0	0	794.0
NLR_NOD	1564	1564	1564	838.0
NLR_accessory_only	2639	1808	1327	1274.0
