Gene ID,Gene Name or Symbol,Product Description
CNAG_00001,N/A,hypothetical protein
CNAG_00002,N/A,hypothetical protein
CNAG_00003,N/A,drug transporter
CNAG_00004,N/A,hypothetical protein
CNAG_00005,N/A,TPR repeat-containing protein
CNAG_00006,N/A,prohibitin-2
CNAG_00007,N/A,methionine-tRNA ligase
CNAG_00008,N/A,hypothetical protein
CNAG_00009,N/A,calcium-binding protein
CNAG_00010,N/A,cation transporter
CNAG_00011,N/A,hypothetical protein
CNAG_00012,N/A,hypothetical protein
CNAG_00013,N/A,hypothetical protein
CNAG_00014,N/A,hypothetical protein
CNAG_00015,N/A,hypothetical protein
CNAG_00016,N/A,U6 snRNA-associated Sm-like protein LSm5
CNAG_00017,N/A,hypothetical protein
CNAG_00018,N/A,hypothetical protein
CNAG_00019,N/A,mitochondrial import inner membrane translocase subunit tim9
CNAG_00020,N/A,hypothetical protein
CNAG_00021,N/A,S-adenosylmethionine decarboxylase proenzyme
CNAG_00022,N/A,cytochrome c heme-lyase
CNAG_00023,N/A,hypothetical protein
CNAG_00024,N/A,hypothetical protein
CNAG_00025,N/A,vacuolar calcium exchanger
CNAG_00026,N/A,"kynurenine aminotransferase, variant"
CNAG_00027,N/A,transcriptional activator
CNAG_00028,N/A,high-affinity nicotinic acid transporter
CNAG_00029,N/A,D-3-phosphoglycerate dehydrogenase
CNAG_00030,N/A,D-3-phosphoglycerate dehydrogenase
CNAG_00031,N/A,"hypothetical protein, variant"
CNAG_00032,N/A,"2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase"
CNAG_00033,N/A,hypothetical protein
CNAG_00034,N/A,large subunit ribosomal protein L9e
CNAG_00035,N/A,hypothetical protein
CNAG_00036,N/A,SEC14 cytosolic factor
CNAG_00038,N/A,Alcohol dehydrogenase
CNAG_00039,N/A,hypothetical protein
CNAG_00040,N/A,"cytochrome P450, family 51 (sterol 14- demethylase)"
CNAG_00043,N/A,hypothetical protein
CNAG_00044,N/A,ribosome assembly protein 1
CNAG_00045,N/A,hypothetical protein
CNAG_00046,N/A,26S proteasome regulatory subunit N8
CNAG_00047,N/A,pyruvate dehydrogenase kinase
CNAG_00048,N/A,Sugar transporter
CNAG_00049,N/A,hypothetical protein
CNAG_00050,N/A,hypothetical protein
CNAG_00051,N/A,putative set3c deacetylase complex subunit
CNAG_00052,N/A,hypothetical protein
CNAG_00053,N/A,hypothetical protein
CNAG_00054,N/A,hypothetical protein
CNAG_00055,N/A,hypothetical protein
CNAG_00056,N/A,hypothetical protein
CNAG_00057,N/A,"fructose-1,6-bisphosphatase I"
CNAG_00058,N/A,T-complex protein 1 subunit epsilon
CNAG_00059,N/A,hypothetical protein
CNAG_00060,N/A,chaperone regulator
CNAG_00061,N/A,"citrate synthase, mitochondrial"
CNAG_00062,N/A,26S proteasome regulatory subunit N3
CNAG_00063,N/A,Histone H3
CNAG_00064,N/A,COPII-coated vesicle protein
CNAG_00065,N/A,ran-binding protein 1
CNAG_00066,N/A,membrane protein
CNAG_00067,N/A,protein translocase SEC61 complex gamma subunit
CNAG_00068,N/A,specific RNA polymerase II transcription factor
CNAG_00069,N/A,hypothetical protein
CNAG_00070,N/A,hypothetical protein
CNAG_00072,N/A,protein disulfide-isomerase
CNAG_00073,N/A,nuclear mRNA splicing protein
CNAG_00074,N/A,protein PNS1
CNAG_00075,N/A,hypothetical protein
CNAG_00076,N/A,A/G-specific adenine glycosylase
CNAG_00077,N/A,"solute carrier family 26 (sodium-independent sulfate anion transporter), member 11"
CNAG_00078,N/A,vacuolar protein
CNAG_00079,N/A,hypothetical protein
CNAG_00080,N/A,hypothetical protein
CNAG_00081,N/A,pre-mRNA-processing factor 6
CNAG_00082,N/A,cytosolic Fe-S cluster assembly factor CFD1
CNAG_00083,N/A,hypothetical protein
CNAG_00084,N/A,glutamine-tRNA ligase
CNAG_00085,N/A,histone chaperone ASF1
CNAG_00086,N/A,"N2,N2-dimethylguanosine tRNA methyltransferase"
CNAG_00087,N/A,hypothetical protein
CNAG_00088,N/A,prohibitin PHB1
CNAG_00089,N/A,exosome complex component RRP4
CNAG_00090,N/A,hypothetical protein
CNAG_00091,N/A,hypothetical protein
CNAG_00092,N/A,mitochondrial protein
CNAG_00093,N/A,hypothetical protein
CNAG_00094,N/A,NAD-dependent epimerase/dehydratase
CNAG_00095,N/A,hypothetical protein
CNAG_00096,N/A,hypothetical protein
CNAG_00097,N/A,"myo-inositol transporter, putative"
CNAG_00098,N/A,palmitoyl-protein thioesterase
CNAG_00099,N/A,minichromosome maintenance protein 3
CNAG_00100,N/A,stress-induced-phosphoprotein 1
CNAG_00101,N/A,Inositolphosphorylceramide synthase subunit Kei1 domain-containing protein
CNAG_00104,N/A,elongation factor 3
CNAG_00105,N/A,pyridoxal reductase
CNAG_00106,N/A,Two-component-like sensor kinase
CNAG_00107,N/A,hypothetical protein
CNAG_00108,N/A,RuvB-like helicase 1
CNAG_00109,N/A,large subunit ribosomal protein L34
CNAG_00110,N/A,hypothetical protein
CNAG_00111,N/A,splicing factor 3A subunit 1
CNAG_00115,N/A,chlorophyll synthesis pathway protein BchC
CNAG_00116,N/A,small subunit ribosomal protein S3
CNAG_00117,N/A,c-14 sterol reductase
CNAG_00118,N/A,hypothetical protein
CNAG_00119,N/A,hypothetical protein
CNAG_00120,N/A,hypothetical protein
CNAG_00121,N/A,glycerol-3-phosphate dehydrogenase (NAD())
CNAG_00122,N/A,Alpha-amylase
CNAG_00123,N/A,hypothetical protein
CNAG_00124,N/A,Capsule structure designer protein
CNAG_00125,N/A,Putative regulator of G-protein signaling protein
CNAG_00126,N/A,2-deoxy-D-gluconate 3-dehydrogenase
CNAG_00127,N/A,hypothetical protein
CNAG_00128,N/A,hypothetical protein
CNAG_00129,N/A,hypothetical protein
CNAG_00130,N/A,CAMK/CAMK1/CAMK1-RCK protein kinase
CNAG_00131,N/A,Alcohol dehydrogenase
CNAG_00132,N/A,hypothetical protein
CNAG_00133,N/A,hypothetical protein
CNAG_00134,N/A,hypothetical protein
CNAG_00135,N/A,cyclophilin
CNAG_00136,N/A,ubiquitin-activating enzyme E1
CNAG_00137,N/A,hypothetical protein
CNAG_00138,N/A,ubiquinone biosynthesis methyltransferase
CNAG_00139,N/A,hypothetical protein
CNAG_00140,N/A,U1 small nuclear ribonucleoprotein 70kDa
CNAG_00141,N/A,monooxygenase
CNAG_00142,N/A,hypothetical protein
CNAG_00143,N/A,phosphoribosylaminoimidazolesuccinocarboxamide synthase
CNAG_00144,N/A,hypothetical protein
CNAG_00145,N/A,actin-2
CNAG_00146,N/A,5'/3'-nucleotidase SurE
CNAG_00147,N/A,pre-mRNA-processing-splicing factor 8
CNAG_00148,N/A,hypothetical protein
CNAG_00149,N/A,NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 4
CNAG_00150,N/A,peptidase
CNAG_00151,N/A,transcription elongation regulator 1
CNAG_00152,N/A,hypothetical protein
CNAG_00153,N/A,hypothetical protein
CNAG_00154,N/A,oxidoreductase
CNAG_00155,N/A,hypothetical protein
CNAG_00156,N/A,Putative zinc finger transcription factor
CNAG_00157,N/A,hypothetical protein
CNAG_00158,N/A,"alpha-1,6-mannosyltransferase"
CNAG_00159,N/A,hypothetical protein
CNAG_00160,N/A,hypothetical protein
CNAG_00161,N/A,auxin-induced protein
CNAG_00162,N/A,"alternative oxidase, mitochondrial"
CNAG_00163,N/A,general transcription factor 3C polypeptide 4
CNAG_00164,N/A,hypothetical protein
CNAG_00165,N/A,methylthioadenosine phosphorylase
CNAG_00166,N/A,ATP-dependent RNA helicase DBP8
CNAG_00167,N/A,hypothetical protein
CNAG_00171,N/A,peroxin-2
CNAG_00172,N/A,kinesin
CNAG_00173,N/A,hypothetical protein
CNAG_00174,N/A,hypothetical protein
CNAG_00175,N/A,hypothetical protein
CNAG_00176,N/A,glutamate carboxypeptidase
CNAG_00177,N/A,hypothetical protein
CNAG_00178,N/A,DNA repair protein REV1
CNAG_00179,N/A,guanine nucleotide-binding protein subunit alpha
CNAG_00180,N/A,ubiquitin carboxyl-terminal hydrolase L3
CNAG_00181,N/A,macrophage erythroblast attacher isoform 1
CNAG_00182,N/A,retrograde transporter
CNAG_00183,N/A,alternative cyclin Pcl12
CNAG_00184,N/A,pre-mRNA cleavage complex 2 protein Pcf11
CNAG_00185,N/A,hypothetical protein
CNAG_00186,N/A,mitotic spindle organizing protein 1
CNAG_00187,N/A,ubiquitin carboxyl-terminal hydrolase 1
CNAG_00188,N/A,endoplasmic reticulum protein
CNAG_00189,N/A,hypothetical protein
CNAG_00190,N/A,hypothetical protein
CNAG_00191,N/A,etoposide-induced protein
CNAG_00192,N/A,hypothetical protein
CNAG_00193,N/A,GATA type zinc finger protein asd-4
CNAG_00194,N/A,hypothetical protein
CNAG_00195,N/A,exosome complex protein LRP1
CNAG_00229,N/A,hypothetical protein
CNAG_00231,N/A,hypothetical protein
CNAG_00232,N/A,large subunit ribosomal protein L30e
CNAG_00233,N/A,chaperone protein
CNAG_00234,N/A,tRNA-dihydrouridine synthase 4
CNAG_00235,N/A,amt family ammonium transporter
