Gene ID,Gene Name or Symbol,Product Description
CNAG_00236,N/A,8-Amino-7-oxononanoate synthase
CNAG_00237,N/A,"3-isopropylmalate dehydratase, large subunit"
CNAG_00238,N/A,isoleucine-tRNA ligase
CNAG_00239,N/A,hypothetical protein
CNAG_00240,N/A,hypothetical protein
CNAG_00241,N/A,protein AIR1/2
CNAG_00242,N/A,hypothetical protein
CNAG_00243,N/A,hypothetical protein
CNAG_00246,N/A,hypothetical protein
CNAG_00247,N/A,alpha-aminoadipic semialdehyde synthase
CNAG_00248,N/A,ESCRT-II complex subunit VPS36
CNAG_00249,N/A,hypothetical protein
CNAG_00250,N/A,hypothetical protein
CNAG_00251,N/A,hypothetical protein
CNAG_00252,N/A,"transcription elongation factor B, polypeptide 1"
CNAG_00253,N/A,hypothetical protein
CNAG_00254,N/A,NADH dehydrogenase
CNAG_00255,N/A,hypothetical protein
CNAG_00256,N/A,Aspartate-semialdehyde dehydrogenase
CNAG_00257,N/A,kinesin family member 21A
CNAG_00258,N/A,Fungal gamma tubulin complex family protein
CNAG_00259,N/A,bud site selection protein
CNAG_00260,N/A,transformer-2 protein
CNAG_00261,N/A,hypothetical protein
CNAG_00262,N/A,hypothetical protein
CNAG_00263,N/A,serine/threonine/tyrosine-interacting protein
CNAG_00264,N/A,nuclease I
CNAG_00265,N/A,isopentenyl-diphosphate delta-isomerase
CNAG_00266,N/A,hypothetical protein
CNAG_00267,N/A,hypothetical protein
CNAG_00268,N/A,"acetolactate synthase, mitochondrial"
CNAG_00269,N/A,Sorbitol dehydrogenase
CNAG_00270,N/A,mitochondrial protein
CNAG_00271,N/A,INO80 complex subunit C
CNAG_00272,N/A,hypothetical protein
CNAG_00273,N/A,hypothetical protein
CNAG_00274,N/A,hypothetical protein
CNAG_00275,N/A,hypothetical protein
CNAG_00276,N/A,hypothetical protein
CNAG_00277,N/A,hypothetical protein
CNAG_00278,N/A,"methionine aminopeptidase, type I"
CNAG_00279,N/A,hypothetical protein
CNAG_00280,N/A,"complement component 1 Q subcomponent-binding protein, mitochondrial"
CNAG_00283,N/A,hypothetical protein
CNAG_00284,N/A,efflux protein EncT
CNAG_00285,N/A,hypothetical protein
CNAG_00286,N/A,putative nuclear polyadenylated mRNA-binding protein
CNAG_00287,N/A,cytoplasmic protein
CNAG_00288,N/A,oligoribonuclease
CNAG_00289,N/A,hypothetical protein
CNAG_00290,N/A,Aminopeptidase
CNAG_00291,N/A,hypothetical protein
CNAG_00292,N/A,zinc finger protein
CNAG_00293,N/A,Ras-like protein
CNAG_00294,N/A,splicing factor 45
CNAG_00295,N/A,hypothetical protein
CNAG_00299,N/A,DNA repair protein rad5
CNAG_00300,N/A,gamma-tubulin complex component 2
CNAG_00301,N/A,hypothetical protein
CNAG_00302,N/A,hypothetical protein
CNAG_00303,N/A,"high-affinity nicotinic acid transporter, variant"
CNAG_00304,N/A,hypothetical protein
CNAG_00305,N/A,"chaperone activator, variant"
CNAG_00306,N/A,Copper-detoxifying metallothionein 2
CNAG_00307,N/A,hypothetical protein
CNAG_00308,N/A,gly-X carboxypeptidase
CNAG_00309,N/A,membrane protein
CNAG_00310,N/A,origin recognition complex subunit 5
CNAG_00311,N/A,3-hydroxyisobutyryl-CoA hydrolase
CNAG_00312,N/A,Synaptobrevin
CNAG_00313,N/A,hypothetical protein
CNAG_00314,N/A,hypothetical protein
CNAG_00315,N/A,HHE domain-containing protein
CNAG_00316,N/A,rdgB/HAM1 family non-canonical purine NTP pyrophosphatase
CNAG_00317,N/A,hypothetical protein
CNAG_00318,N/A,arp2/3 complex 16 kda subunit
CNAG_00319,N/A,"hypothetical protein, variant"
CNAG_00320,N/A,anaphase-promoting complex subunit 3
CNAG_00321,N/A,dRaptor
CNAG_00322,N/A,hypothetical protein
CNAG_00323,N/A,hypothetical protein
CNAG_00326,N/A,hypothetical protein
CNAG_00327,N/A,DASH complex subunit DAD2
CNAG_00328,N/A,DNA excision repair protein ERCC-5
CNAG_00329,N/A,NADH dehydrogenase (ubiquinone) 1 beta subcomplex 8
CNAG_00330,N/A,transcription factor TFIIIB component b''
CNAG_00331,N/A,anon-23da protein
CNAG_00332,N/A,hypothetical protein
CNAG_00333,N/A,hypothetical protein
CNAG_00334,N/A,hsp75-like protein
CNAG_00335,N/A,hypothetical protein
CNAG_00336,N/A,hypothetical protein
CNAG_00337,N/A,hypothetical protein
CNAG_00342,N/A,hypothetical protein
CNAG_00343,N/A,hypothetical protein
CNAG_00344,N/A,hypothetical protein
CNAG_00345,N/A,porphobilinogen synthase
CNAG_00346,N/A,hypothetical protein
CNAG_00347,N/A,DEAH box polypeptide 36
CNAG_00348,N/A,hypothetical protein
CNAG_00349,N/A,hypothetical protein
CNAG_00351,N/A,hypothetical protein
CNAG_00352,N/A,A1 cistron-splicing factor AAR2
CNAG_00353,N/A,3-oxo-5-alpha-steroid 4-dehydrogenase 1
CNAG_00354,N/A,vacuolar protein 8
CNAG_00355,N/A,hypothetical protein
CNAG_00356,N/A,survival factor 1
CNAG_00357,N/A,ribonuclease HI
CNAG_00358,N/A,"tRNA dimethylallyltransferase, variant"
CNAG_00359,N/A,hypothetical protein
CNAG_00360,N/A,nuclear protein SNF4
CNAG_00361,N/A,hypothetical protein
CNAG_00362,N/A,hypothetical protein
CNAG_00363,N/A,Two-component-like sensor kinase
CNAG_00364,N/A,tRNA threonylcarbamoyladenosine biosynthesis protein
CNAG_00365,N/A,lysophospholipid acyltransferase
CNAG_00366,N/A,hypothetical protein
CNAG_00367,N/A,dynactin 5
CNAG_00368,N/A,vacuolar-sorting protein 53 long isoform
CNAG_00369,N/A,hypothetical protein
CNAG_00370,N/A,Predicted ubiquitin-ribosomal 60s subunit protein L40a fusion protein
CNAG_00371,N/A,methylglutaconyl-CoA hydratase
CNAG_00372,N/A,chromatin structure-remodeling complex protein RSC7
CNAG_00373,N/A,"glucan 1,3-beta-glucosidase"
CNAG_00374,N/A,hypothetical protein
CNAG_00375,N/A,histone acetyltransferase
CNAG_00376,N/A,hypothetical protein
CNAG_00377,N/A,DNA topoisomerase II
CNAG_00378,N/A,hypothetical protein
CNAG_00383,N/A,"Aminophospholipid translocase, putative"
CNAG_00384,N/A,RAD51-like protein 2
CNAG_00385,N/A,20S proteasome subunit beta 3
CNAG_00386,N/A,translation initiation factor 4G
CNAG_00387,N/A,hypothetical protein
CNAG_00388,N/A,1-phosphatidylinositol-4-phosphate 5-kinase
CNAG_00389,N/A,mitochondrial protein
CNAG_00390,N/A,myotubularin
CNAG_00391,N/A,hypothetical protein
CNAG_00392,N/A,kelch repeat-containing protein
CNAG_00393,N/A,"1,4-alpha-glucan-branching enzyme"
CNAG_00394,N/A,diphthamide biosynthesis protein 3
CNAG_00395,N/A,structure-specific endonuclease subunit SLX1
CNAG_00396,N/A,AGC/PKA protein kinase
CNAG_00397,N/A,"2-oxoisovalerate dehydrogenase E1 component, beta subunit"
CNAG_00398,N/A,hypothetical protein
CNAG_00399,N/A,transformer-2-beta isoform 3
CNAG_00400,N/A,secondary thiamine-phosphate synthase enzyme
CNAG_00401,N/A,"phosphatidylinositol glycan, class U"
CNAG_00402,N/A,translation initiation factor 4G
CNAG_00403,N/A,mitochondrial protein
CNAG_00404,N/A,RING zinc finger protein
CNAG_00405,N/A,ste/ste20/ysk protein kinase
CNAG_00406,N/A,hypothetical protein
CNAG_00407,N/A,glyoxal oxidase
CNAG_00408,N/A,serine/threonine-protein phosphatase PP-X isozyme 1
CNAG_00409,N/A,hypothetical protein
CNAG_00410,N/A,hypothetical protein
CNAG_00411,N/A,nucleoporin p58/p45
CNAG_00412,N/A,hypothetical protein
CNAG_00413,N/A,putative oxidoreductase
CNAG_00414,N/A,"Maintenance of killer protein 32, putative"
CNAG_00415,N/A,CMGC/CDK protein kinase
CNAG_00416,N/A,f-box/wd-repeat protein lin-23
CNAG_00417,N/A,elongation factor 1-gamma
CNAG_00418,N/A,S-adenosylmethionine synthase
CNAG_00419,N/A,DNA polymerase beta subunit
CNAG_00420,N/A,dolichyl-phosphate mannosyltransferase polypeptide 3
CNAG_00421,N/A,charged multivesicular body protein 3
CNAG_00422,N/A,hypothetical protein
CNAG_00423,N/A,"kinetochore protein Spc24, fungi type"
CNAG_00424,N/A,choline-phosphate cytidylyltransferase
CNAG_00425,N/A,hypothetical protein
CNAG_00426,N/A,UBA/TS-N domain-containing protein
CNAG_00427,N/A,type 2C protein Phosphatase
CNAG_00428,N/A,hypothetical protein
CNAG_00429,N/A,tRNA-dihydrouridine synthase 1
CNAG_00430,N/A,hypothetical protein
CNAG_00433,N/A,hypothetical protein
CNAG_00434,N/A,arginine N-methyltransferase 2
CNAG_00435,N/A,hypothetical protein
CNAG_00436,N/A,palmitoyltransferase akr1
CNAG_00437,N/A,anaphase-promoting complex subunit 11
CNAG_00438,N/A,hypothetical protein
CNAG_00439,N/A,hypothetical protein
CNAG_00440,N/A,RNA polymerase II holoenzyme cyclin-like subunit
CNAG_00441,N/A,inosine-5'-monophosphate dehydrogenase
CNAG_00442,N/A,cyclin
CNAG_00443,N/A,hypothetical protein
CNAG_00444,N/A,hypothetical protein
CNAG_00445,N/A,nonhistone chromosomal protein
CNAG_00446,N/A,hypothetical protein
CNAG_00447,N/A,T-complex protein 1 subunit beta
CNAG_00448,N/A,V-type H -transporting ATPase subunit AC39
CNAG_00449,N/A,RNA-binding protein NOB1
CNAG_00450,N/A,3-isopropylmalate dehydrogenase
CNAG_00451,N/A,cytoplasmic protein
CNAG_00452,N/A,Isovaleryl-CoA dehydrogenase
CNAG_00453,N/A,mitochondrial protein
CNAG_00454,N/A,hypothetical protein
CNAG_00455,N/A,ubiquitin carboxyl-terminal hydrolase Ubp16
CNAG_00456,N/A,Identified spore protein 6
CNAG_00457,N/A,Glutamine synthetase
CNAG_00458,N/A,hypothetical protein
CNAG_00460,N/A,virulence related protein of unknown function
CNAG_00461,N/A,protein kinase C substrate 80K-H
CNAG_00462,N/A,electron-transferring-flavoprotein dehydrogenase
CNAG_00463,N/A,hypothetical protein
CNAG_00464,N/A,pre-mRNA-splicing factor rse1
CNAG_00465,N/A,hypothetical protein
CNAG_00466,N/A,adaptin ear-binding coat-associated protein 2
CNAG_00467,N/A,"hypothetical protein, variant"
CNAG_00468,N/A,hypothetical protein
CNAG_00469,N/A,endoplasmic reticulum protein
CNAG_00470,N/A,charged multivesicular body protein 1
CNAG_00471,N/A,mitochondrial protein
CNAG_00472,N/A,hypothetical protein
CNAG_00473,N/A,oligosaccharyltransferase complex subunit epsilon
CNAG_00474,N/A,hypothetical protein
CNAG_00475,N/A,WSC domain-containing protein
CNAG_00476,N/A,hypothetical protein
CNAG_00480,N/A,hypothetical protein
CNAG_00481,N/A,hypothetical protein
CNAG_00482,N/A,26S proteasome regulatory subunit N10
CNAG_00483,N/A,actin
CNAG_00484,N/A,2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase)
CNAG_00485,N/A,hypothetical protein
CNAG_00486,N/A,"succinate dehydrogenase assembly factor 2, mitochondrial"
CNAG_00487,N/A,hypothetical protein
CNAG_00488,N/A,hypothetical protein
CNAG_00490,N/A,acetyl-CoA acyltransferase
CNAG_00491,N/A,hypothetical protein
CNAG_00492,N/A,hypothetical protein
CNAG_00493,N/A,hypothetical protein
CNAG_00495,N/A,hypothetical protein
CNAG_00496,N/A,hypothetical protein
CNAG_00497,N/A,hypothetical protein
CNAG_00498,N/A,cell division cycle protein 14
CNAG_00499,N/A,"solute carrier family 25 (mitochondrial carnitine/acylcarnitine transporter), member 20/29"
CNAG_00500,N/A,Protein phosphatase
CNAG_00501,N/A,hypothetical protein
CNAG_00502,N/A,large subunit ribosomal protein L35
CNAG_00503,N/A,hypothetical protein
CNAG_00504,N/A,peptidyl-prolyl cis-trans isomerase-like 4
CNAG_00505,N/A,hypothetical protein
CNAG_00506,N/A,hypothetical protein
CNAG_00507,N/A,nitrilase
CNAG_00508,N/A,vacuolar protein sorting-associated protein vps17
CNAG_00509,N/A,translation initiation factor 3 subunit M
CNAG_00510,N/A,prefoldin subunit 2
CNAG_00511,N/A,hypothetical protein
CNAG_00512,N/A,mitochondrial carrier protein
CNAG_00513,N/A,nucleolar protein 53
CNAG_00514,N/A,hypothetical protein
CNAG_00515,N/A,mannitol dehydrogenase
CNAG_00516,N/A,peroxin-7
CNAG_00517,N/A,hypothetical protein
CNAG_00519,N/A,lathosterol oxidase
CNAG_00520,N/A,hypothetical protein
CNAG_00521,N/A,hypothetical protein
CNAG_00522,N/A,C2 domain-containing protein
CNAG_00523,N/A,hypothetical protein
CNAG_00524,N/A,acetyl-CoA acyltransferase 2
CNAG_00525,N/A,"dynein light intermediate chain 1, cytosolic"
CNAG_00526,N/A,hypothetical protein
CNAG_00527,N/A,translation initiation factor eIF-2B subunit epsilon
CNAG_00528,N/A,WD-repeat protein 23
CNAG_00529,N/A,sulfite transporter
CNAG_00531,N/A,"potassium/sodium efflux P-type ATPase, fungal- type"
CNAG_00532,N/A,hypothetical protein
CNAG_00533,N/A,mitochondrial import inner membrane translocase subunit tim50
CNAG_00534,N/A,hypothetical protein
CNAG_00535,N/A,large subunit ribosomal protein L16
CNAG_00536,N/A,hypothetical protein
CNAG_00537,N/A,Carnitine O-acetyltransferase
CNAG_00538,N/A,hypothetical protein
CNAG_00539,N/A,membrane transporter
CNAG_00540,N/A,pantothenate transporter
CNAG_00541,N/A,dimethylaniline monooxygenase
CNAG_00542,N/A,Salicylate hydroxylase
CNAG_00543,N/A,hypothetical protein
CNAG_00544,N/A,hypothetical protein
CNAG_00545,N/A,cohesin loading factor subunit SCC2
CNAG_00546,N/A,Chitin synthase
CNAG_00547,N/A,hypothetical protein
CNAG_00549,N/A,hypothetical protein
CNAG_00550,N/A,DNA mismatch repair protein Msh5
CNAG_00551,N/A,poly(A) polymerase
CNAG_00554,N/A,inositol phosphorylsphingolipid-phospholipase C
CNAG_00555,N/A,hypothetical protein
CNAG_00556,N/A,Casein kinase I
CNAG_00557,N/A,U6 snRNA-associated Sm-like protein LSm8
CNAG_00558,N/A,hypothetical protein
CNAG_00559,N/A,"bZip transcription factor, putative"
CNAG_00560,N/A,V-type H -transporting ATPase subunit E
CNAG_00561,N/A,histone acetyltransferase type B catalytic subunit
CNAG_00562,N/A,hypothetical protein
CNAG_00563,N/A,hypothetical protein
CNAG_00564,N/A,hypothetical protein
CNAG_00565,N/A,dynamin GTPase
CNAG_00566,N/A,DNA ligase 1
CNAG_00567,N/A,WD40 repeat protein
CNAG_00568,N/A,hypothetical protein
CNAG_00569,N/A,GTP cyclohydrolase II
CNAG_00570,N/A,cAMP-dependent protein kinase regulator
CNAG_00571,N/A,hypothetical protein
CNAG_00572,N/A,DNA excision repair protein ERCC-2
CNAG_00573,N/A,NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 6
CNAG_00574,N/A,amino acid/metabolite permease
CNAG_00575,N/A,Catalase 3
CNAG_00576,N/A,mitochondrial protein
CNAG_00577,N/A,hypothetical protein
CNAG_00580,N/A,translation initiation factor IF-2
CNAG_00581,N/A,saccharopepsin
CNAG_00582,N/A,vacuolar transporter chaperone 1
CNAG_00583,N/A,hypothetical protein
CNAG_00584,N/A,Profilin
CNAG_00585,N/A,hypothetical protein
CNAG_00586,N/A,hypothetical protein
CNAG_00587,N/A,hypothetical protein
CNAG_00588,N/A,hypothetical protein
CNAG_00589,N/A,5-formyltetrahydrofolate cyclo-ligase
CNAG_00590,N/A,para-aminobenzoate synthetase
CNAG_00591,N/A,hypothetical protein
CNAG_00592,N/A,dolichol-phosphate mannosyltransferase
CNAG_00593,N/A,hypothetical protein
CNAG_00594,N/A,lipid particle protein
CNAG_00595,N/A,hypothetical protein
CNAG_00596,N/A,hypothetical protein
CNAG_00597,N/A,amino acid transporter
CNAG_00598,N/A,nicotinamide mononucleotide permease
CNAG_00599,N/A,anion transporter
CNAG_00600,N/A,capsular associated protein
CNAG_00601,N/A,glycosyl hydrolase
CNAG_00602,N/A,translation initiation factor 3 subunit I
CNAG_00603,N/A,pre-rRNA-processing protein PNO1
CNAG_00604,N/A,hypothetical protein
CNAG_00605,N/A,cytoplasmic protein
CNAG_00606,N/A,transcription initiation factor TFIID subunit 7
CNAG_00607,N/A,hypothetical protein
CNAG_00608,N/A,hypothetical protein
CNAG_00609,N/A,hypothetical protein
CNAG_00612,N/A,DNA excision repair protein ERCC-3
CNAG_00613,N/A,Cytosine deaminase
CNAG_00614,N/A,hypothetical protein
CNAG_00615,N/A,hypothetical protein
CNAG_00619,N/A,tubulin folding cofactor C
CNAG_00622,N/A,Acetylornithine aminotransferase
CNAG_00623,N/A,fungus-specific glucosylceramide
CNAG_00624,N/A,hypothetical protein
CNAG_00625,N/A,ARF guanyl-nucleotide exchange factor
CNAG_00626,N/A,hypothetical protein
CNAG_00627,N/A,specific transcriptional repressor
CNAG_00628,N/A,hypothetical protein
CNAG_00632,N/A,hypothetical protein
CNAG_00633,N/A,hypothetical protein
CNAG_00634,N/A,"hypothetical protein, variant"
CNAG_00635,N/A,cytoplasmic protein
CNAG_00636,N/A,CDC7 protein kinase
CNAG_00637,N/A,Cystathionine beta-synthase
CNAG_00638,N/A,GTPase
CNAG_00639,N/A,hypothetical protein
CNAG_00640,N/A,small subunit ribosomal protein S4-A
CNAG_00641,N/A,transcription elongation factor spt5
CNAG_00642,N/A,hypothetical protein
CNAG_00643,N/A,hypothetical protein
CNAG_00644,N/A,sphingolipid delta-4 desaturase
CNAG_00645,N/A,"2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase"
CNAG_00647,N/A,hypothetical protein
CNAG_00648,N/A,esterase/lipase
CNAG_00649,N/A,"tryptophan synthase, beta subunit"
CNAG_00650,N/A,GRAM domain-containing protein
CNAG_00651,N/A,"ATP-binding cassette, subfamily D (ALD), peroxisomal long-chain fatty acid import protein"
CNAG_00652,N/A,hypothetical protein
CNAG_00653,N/A,hypothetical protein
CNAG_00654,N/A,sulfiredoxin
CNAG_00655,N/A,large subunit acidic ribosomal protein P1
CNAG_00656,N/A,large subunit ribosomal protein L7e
CNAG_00657,N/A,hypothetical protein
CNAG_00658,N/A,hypothetical protein
CNAG_00659,N/A,TFIIH basal transcription factor complex TTD-A subunit
CNAG_00660,N/A,histone deacetylase HOS3
CNAG_00661,N/A,hypothetical protein
CNAG_00662,N/A,carboxymethylenebutenolidase
CNAG_00663,N/A,hypothetical protein
CNAG_00664,N/A,hypothetical protein
CNAG_00665,N/A,DNA topoisomerase 2-associated protein PAT1
CNAG_00666,N/A,nucleoporin NSP1
CNAG_00667,N/A,hypothetical protein
CNAG_00668,N/A,hypothetical protein
