baseline_count_vs_C	delta_pct_vs_C	delta_vs_C	jaccard_vs_P	n_candidates	precision_vs_P	recall_vs_P	refined_count_vs_C	tier
9901	-99.8	-9877	0.0709	24	0.4167	0.0787	24	C+H
			0.0029	9901	0.0029	0.2283		C
9901	-0.2	-15	0.0029	9886	0.0029	0.2283	9886	R
