metric	value
n_controls	16
n_positive	6
n_positive_resolved	5
positive_hits	2
recall	0.4
n_negative	10
n_negative_resolved	0
negative_fp	0
fp_rate	
n_unresolved	11
n_placeholder_skipped	1
