tier	n_controls	n_positive	n_positive_resolved	positive_hits	recall	n_negative	n_negative_resolved	negative_fp	fp_rate	n_unresolved	n_placeholder_skipped
P	16	6	6	6	1.0	10	0	0		10	1
C+H	16	6	5	2	0.4	10	0	0		11	1
C	16	6	5	4	0.8	10	0	0		11	1
R	16	6	5	4	0.8	10	0	0		11	1
