tier	n_controls	n_positive	n_positive_resolved	positive_hits	recall	n_negative	n_negative_resolved	negative_fp	fp_rate	n_unresolved	n_placeholder_skipped
P	2	2	0	0		0	0	0		2	0
C+H	2	2	2	2	1.0	0	0	0		0	0
C	2	2	2	2	1.0	0	0	0		0	0
R	2	2	2	2	1.0	0	0	0		0	0
