GROUP,Species,Strain,Protein,DNA,GFF3,Short,TaxonGroup
OUT,Coccidioides posadasii,COCPO_103720,COCPO_103720.pep.fa,COCPO_103720.dna.fa,COCPO_103720.gff3,COCPO_103720,Coccidioides posadasii
OUT,Coccidioides posadasii,COCPO_103721,COCPO_103721.pep.fa,COCPO_103721.dna.fa,COCPO_103721.gff3,COCPO_103721,Coccidioides posadasii
OUT,Coccidioides posadasii,COCPO_103744,COCPO_103744.pep.fa,COCPO_103744.dna.fa,COCPO_103744.gff3,COCPO_103744,Coccidioides posadasii
OUT,Coccidioides posadasii,COCPO_103745,COCPO_103745.pep.fa,COCPO_103745.dna.fa,COCPO_103745.gff3,COCPO_103745,Coccidioides posadasii
OUT,Coccidioides posadasii,COCPO_103827,COCPO_103827.pep.fa,COCPO_103827.dna.fa,COCPO_103827.gff3,COCPO_103827,Coccidioides posadasii
OUT,Coccidioides posadasii,COCPO_114029,COCPO_114029.pep.fa,COCPO_114029.dna.fa,COCPO_114029.gff3,COCPO_114029,Coccidioides posadasii
OUT,Coccidioides posadasii,COCPO_114072,COCPO_114072.pep.fa,COCPO_114072.dna.fa,COCPO_114072.gff3,COCPO_114072,Coccidioides posadasii
OUT,Coccidioides posadasii,COCPO_175712,COCPO_175712.pep.fa,COCPO_175712.dna.fa,COCPO_175712.gff3,COCPO_175712,Coccidioides posadasii
OUT,Coccidioides posadasii,COCPO_175714,COCPO_175714.pep.fa,COCPO_175714.dna.fa,COCPO_175714.gff3,COCPO_175714,Coccidioides posadasii
OUT,Coccidioides posadasii,COCPO_175715,COCPO_175715.pep.fa,COCPO_175715.dna.fa,COCPO_175715.gff3,COCPO_175715,Coccidioides posadasii
OUT,Coccidioides posadasii,COCPO_175716,COCPO_175716.pep.fa,COCPO_175716.dna.fa,COCPO_175716.gff3,COCPO_175716,Coccidioides posadasii
OUT,Coccidioides posadasii,COCPO_185672,COCPO_185672.pep.fa,COCPO_185672.dna.fa,COCPO_185672.gff3,COCPO_185672,Coccidioides posadasii
OUT,Coccidioides posadasii,COCPO_195880,COCPO_195880.pep.fa,COCPO_195880.dna.fa,COCPO_195880.gff3,COCPO_195880,Coccidioides posadasii
OUT,Coccidioides posadasii,COCPO_195881,COCPO_195881.pep.fa,COCPO_195881.dna.fa,COCPO_195881.gff3,COCPO_195881,Coccidioides posadasii
OUT,Coccidioides posadasii,COCPO_195884,COCPO_195884.pep.fa,COCPO_195884.dna.fa,COCPO_195884.gff3,COCPO_195884,Coccidioides posadasii
OUT,Coccidioides posadasii,COCPO_34698,COCPO_34698.pep.fa,COCPO_34698.dna.fa,COCPO_34698.gff3,COCPO_34698,Coccidioides posadasii
OUT,Coccidioides posadasii,COCPO_4545,COCPO_4545.pep.fa,COCPO_4545.dna.fa,COCPO_4545.gff3,COCPO_4545,Coccidioides posadasii
OUT,Coccidioides posadasii,COCPO_Galgiani,COCPO_Galgiani.pep.fa,COCPO_Galgiani.dna.fa,COCPO_Galgiani.gff3,COCPO_Galgiani,Coccidioides posadasii
IN,Coccidioides immitis,COCSP-2006,COCSP-2006.pep.fa,COCSP-2006.dna.fa,COCSP-2006.gff3,COCSP-2006,Coccidioides immitis
OUT,Coccidioides posadasii,COCSP-3478,COCSP-3478.pep.fa,COCSP-3478.dna.fa,COCSP-3478.gff3,COCSP-3478,Coccidioides posadasii
IN,Coccidioides immitis,COCSP-3505,COCSP-3505.pep.fa,COCSP-3505.dna.fa,COCSP-3505.gff3,COCSP-3505,Coccidioides immitis
IN,Coccidioides immitis,COCSP-8945,COCSP-8945.pep.fa,COCSP-8945.dna.fa,COCSP-8945.gff3,COCSP-8945,Coccidioides immitis
OUT,Coccidioides posadasii,COCSP_8725,COCSP_8725.pep.fa,COCSP_8725.dna.fa,COCSP_8725.gff3,COCSP_8725,Coccidioides posadasii
IN,Coccidioides immitis,Coahuila_1,Coahuila_1.pep.fa,Coahuila_1.dna.fa,Coahuila_1.gff3,Coahuila_1,Coccidioides immitis
OUT,Coccidioides posadasii,Coahuila_2,Coahuila_2.pep.fa,Coahuila_2.dna.fa,Coahuila_2.gff3,Coahuila_2,Coccidioides posadasii
OUT,Coccidioides posadasii,Cocci_1400035797,Cocci_1400035797.pep.fa,Cocci_1400035797.dna.fa,Cocci_1400035797.gff3,Cocci_1400035797,Coccidioides posadasii
OUT,Coccidioides posadasii,Colorado_Springs_1,Colorado_Springs_1.pep.fa,Colorado_Springs_1.dna.fa,Colorado_Springs_1.gff3,Colorado_Springs_1,Coccidioides posadasii
OUT,Coccidioides posadasii,EMS,EMS.pep.fa,EMS.dna.fa,EMS.gff3,EMS,Coccidioides posadasii
OUT,Coccidioides posadasii,FMC233,FMC233.pep.fa,FMC233.dna.fa,FMC233.gff3,FMC233,Coccidioides posadasii
OUT,Coccidioides posadasii,FMC234,FMC234.pep.fa,FMC234.dna.fa,FMC234.gff3,FMC234,Coccidioides posadasii
OUT,Coccidioides posadasii,FMC235,FMC235.pep.fa,FMC235.dna.fa,FMC235.gff3,FMC235,Coccidioides posadasii
OUT,Coccidioides posadasii,FMC449,FMC449.pep.fa,FMC449.dna.fa,FMC449.gff3,FMC449,Coccidioides posadasii
OUT,Coccidioides posadasii,FMC588,FMC588.pep.fa,FMC588.dna.fa,FMC588.gff3,FMC588,Coccidioides posadasii
OUT,Coccidioides posadasii,FMC718,FMC718.pep.fa,FMC718.dna.fa,FMC718.gff3,FMC718,Coccidioides posadasii
OUT,Coccidioides posadasii,FMC778,FMC778.pep.fa,FMC778.dna.fa,FMC778.gff3,FMC778,Coccidioides posadasii
OUT,Coccidioides posadasii,GT-002,GT-002.pep.fa,GT-002.dna.fa,GT-002.gff3,GT-002,Coccidioides posadasii
OUT,Coccidioides posadasii,GT-017,GT-017.pep.fa,GT-017.dna.fa,GT-017.gff3,GT-017,Coccidioides posadasii
IN,Coccidioides immitis,GT-100,GT-100.pep.fa,GT-100.dna.fa,GT-100.gff3,GT-100,Coccidioides immitis
OUT,Coccidioides posadasii,GT-101,GT-101.pep.fa,GT-101.dna.fa,GT-101.gff3,GT-101,Coccidioides posadasii
OUT,Coccidioides posadasii,GT-102,GT-102.pep.fa,GT-102.dna.fa,GT-102.gff3,GT-102,Coccidioides posadasii
OUT,Coccidioides posadasii,GT-103,GT-103.pep.fa,GT-103.dna.fa,GT-103.gff3,GT-103,Coccidioides posadasii
IN,Coccidioides immitis,GT-104,GT-104.pep.fa,GT-104.dna.fa,GT-104.gff3,GT-104,Coccidioides immitis
IN,Coccidioides immitis,GT-105,GT-105.pep.fa,GT-105.dna.fa,GT-105.gff3,GT-105,Coccidioides immitis
OUT,Coccidioides posadasii,GT-106,GT-106.pep.fa,GT-106.dna.fa,GT-106.gff3,GT-106,Coccidioides posadasii
IN,Coccidioides immitis,GT-107,GT-107.pep.fa,GT-107.dna.fa,GT-107.gff3,GT-107,Coccidioides immitis
IN,Coccidioides immitis,GT-108,GT-108.pep.fa,GT-108.dna.fa,GT-108.gff3,GT-108,Coccidioides immitis
IN,Coccidioides immitis,GT-109,GT-109.pep.fa,GT-109.dna.fa,GT-109.gff3,GT-109,Coccidioides immitis
OUT,Coccidioides posadasii,GT-110,GT-110.pep.fa,GT-110.dna.fa,GT-110.gff3,GT-110,Coccidioides posadasii
IN,Coccidioides immitis,GT-111,GT-111.pep.fa,GT-111.dna.fa,GT-111.gff3,GT-111,Coccidioides immitis
IN,Coccidioides immitis,GT-113,GT-113.pep.fa,GT-113.dna.fa,GT-113.gff3,GT-113,Coccidioides immitis
IN,Coccidioides immitis,GT-114,GT-114.pep.fa,GT-114.dna.fa,GT-114.gff3,GT-114,Coccidioides immitis
OUT,Coccidioides posadasii,GT-115,GT-115.pep.fa,GT-115.dna.fa,GT-115.gff3,GT-115,Coccidioides posadasii
IN,Coccidioides immitis,GT-116,GT-116.pep.fa,GT-116.dna.fa,GT-116.gff3,GT-116,Coccidioides immitis
IN,Coccidioides immitis,GT-117,GT-117.pep.fa,GT-117.dna.fa,GT-117.gff3,GT-117,Coccidioides immitis
IN,Coccidioides immitis,GT-118,GT-118.pep.fa,GT-118.dna.fa,GT-118.gff3,GT-118,Coccidioides immitis
IN,Coccidioides immitis,GT-119,GT-119.pep.fa,GT-119.dna.fa,GT-119.gff3,GT-119,Coccidioides immitis
OUT,Coccidioides posadasii,GT-120,GT-120.pep.fa,GT-120.dna.fa,GT-120.gff3,GT-120,Coccidioides posadasii
IN,Coccidioides immitis,GT-121,GT-121.pep.fa,GT-121.dna.fa,GT-121.gff3,GT-121,Coccidioides immitis
IN,Coccidioides immitis,GT-123,GT-123.pep.fa,GT-123.dna.fa,GT-123.gff3,GT-123,Coccidioides immitis
OUT,Coccidioides posadasii,GT-124,GT-124.pep.fa,GT-124.dna.fa,GT-124.gff3,GT-124,Coccidioides posadasii
IN,Coccidioides immitis,GT-125,GT-125.pep.fa,GT-125.dna.fa,GT-125.gff3,GT-125,Coccidioides immitis
IN,Coccidioides immitis,GT-126,GT-126.pep.fa,GT-126.dna.fa,GT-126.gff3,GT-126,Coccidioides immitis
IN,Coccidioides immitis,GT-127,GT-127.pep.fa,GT-127.dna.fa,GT-127.gff3,GT-127,Coccidioides immitis
IN,Coccidioides immitis,GT-128,GT-128.pep.fa,GT-128.dna.fa,GT-128.gff3,GT-128,Coccidioides immitis
IN,Coccidioides immitis,GT-129,GT-129.pep.fa,GT-129.dna.fa,GT-129.gff3,GT-129,Coccidioides immitis
OUT,Coccidioides posadasii,GT-130,GT-130.pep.fa,GT-130.dna.fa,GT-130.gff3,GT-130,Coccidioides posadasii
OUT,Coccidioides posadasii,GT-131,GT-131.pep.fa,GT-131.dna.fa,GT-131.gff3,GT-131,Coccidioides posadasii
IN,Coccidioides immitis,GT-132,GT-132.pep.fa,GT-132.dna.fa,GT-132.gff3,GT-132,Coccidioides immitis
IN,Coccidioides immitis,GT-133,GT-133.pep.fa,GT-133.dna.fa,GT-133.gff3,GT-133,Coccidioides immitis
OUT,Coccidioides posadasii,GT-134,GT-134.pep.fa,GT-134.dna.fa,GT-134.gff3,GT-134,Coccidioides posadasii
OUT,Coccidioides posadasii,GT-136,GT-136.pep.fa,GT-136.dna.fa,GT-136.gff3,GT-136,Coccidioides posadasii
OUT,Coccidioides posadasii,GT-139,GT-139.pep.fa,GT-139.dna.fa,GT-139.gff3,GT-139,Coccidioides posadasii
IN,Coccidioides immitis,GT-140,GT-140.pep.fa,GT-140.dna.fa,GT-140.gff3,GT-140,Coccidioides immitis
OUT,Coccidioides posadasii,GT-141,GT-141.pep.fa,GT-141.dna.fa,GT-141.gff3,GT-141,Coccidioides posadasii
OUT,Coccidioides posadasii,GT-142,GT-142.pep.fa,GT-142.dna.fa,GT-142.gff3,GT-142,Coccidioides posadasii
OUT,Coccidioides posadasii,GT-143,GT-143.pep.fa,GT-143.dna.fa,GT-143.gff3,GT-143,Coccidioides posadasii
OUT,Coccidioides posadasii,GT-144,GT-144.pep.fa,GT-144.dna.fa,GT-144.gff3,GT-144,Coccidioides posadasii
OUT,Coccidioides posadasii,GT-145,GT-145.pep.fa,GT-145.dna.fa,GT-145.gff3,GT-145,Coccidioides posadasii
IN,Coccidioides immitis,GT-146,GT-146.pep.fa,GT-146.dna.fa,GT-146.gff3,GT-146,Coccidioides immitis
IN,Coccidioides immitis,GT-147,GT-147.pep.fa,GT-147.dna.fa,GT-147.gff3,GT-147,Coccidioides immitis
OUT,Coccidioides posadasii,GT-148,GT-148.pep.fa,GT-148.dna.fa,GT-148.gff3,GT-148,Coccidioides posadasii
OUT,Coccidioides posadasii,GT-149,GT-149.pep.fa,GT-149.dna.fa,GT-149.gff3,GT-149,Coccidioides posadasii
OUT,Coccidioides posadasii,GT-150,GT-150.pep.fa,GT-150.dna.fa,GT-150.gff3,GT-150,Coccidioides posadasii
OUT,Coccidioides posadasii,GT-151,GT-151.pep.fa,GT-151.dna.fa,GT-151.gff3,GT-151,Coccidioides posadasii
OUT,Coccidioides posadasii,GT-154,GT-154.pep.fa,GT-154.dna.fa,GT-154.gff3,GT-154,Coccidioides posadasii
OUT,Coccidioides posadasii,GT-155,GT-155.pep.fa,GT-155.dna.fa,GT-155.gff3,GT-155,Coccidioides posadasii
IN,Coccidioides immitis,GT-156,GT-156.pep.fa,GT-156.dna.fa,GT-156.gff3,GT-156,Coccidioides immitis
OUT,Coccidioides posadasii,GT-157,GT-157.pep.fa,GT-157.dna.fa,GT-157.gff3,GT-157,Coccidioides posadasii
OUT,Coccidioides posadasii,GT-158,GT-158.pep.fa,GT-158.dna.fa,GT-158.gff3,GT-158,Coccidioides posadasii
OUT,Coccidioides posadasii,GT-159,GT-159.pep.fa,GT-159.dna.fa,GT-159.gff3,GT-159,Coccidioides posadasii
OUT,Coccidioides posadasii,GT-160,GT-160.pep.fa,GT-160.dna.fa,GT-160.gff3,GT-160,Coccidioides posadasii
OUT,Coccidioides posadasii,GT-161,GT-161.pep.fa,GT-161.dna.fa,GT-161.gff3,GT-161,Coccidioides posadasii
OUT,Coccidioides posadasii,GT-162,GT-162.pep.fa,GT-162.dna.fa,GT-162.gff3,GT-162,Coccidioides posadasii
IN,Coccidioides immitis,GT-163,GT-163.pep.fa,GT-163.dna.fa,GT-163.gff3,GT-163,Coccidioides immitis
OUT,Coccidioides posadasii,GT-164,GT-164.pep.fa,GT-164.dna.fa,GT-164.gff3,GT-164,Coccidioides posadasii
OUT,Coccidioides posadasii,GT-165,GT-165.pep.fa,GT-165.dna.fa,GT-165.gff3,GT-165,Coccidioides posadasii
OUT,Coccidioides posadasii,GT-166,GT-166.pep.fa,GT-166.dna.fa,GT-166.gff3,GT-166,Coccidioides posadasii
IN,Coccidioides immitis,GT-167,GT-167.pep.fa,GT-167.dna.fa,GT-167.gff3,GT-167,Coccidioides immitis
OUT,Coccidioides posadasii,GT-168,GT-168.pep.fa,GT-168.dna.fa,GT-168.gff3,GT-168,Coccidioides posadasii
IN,Coccidioides immitis,GT-169,GT-169.pep.fa,GT-169.dna.fa,GT-169.gff3,GT-169,Coccidioides immitis
OUT,Coccidioides posadasii,GT-171,GT-171.pep.fa,GT-171.dna.fa,GT-171.gff3,GT-171,Coccidioides posadasii
IN,Coccidioides immitis,Guerrero_1,Guerrero_1.pep.fa,Guerrero_1.dna.fa,Guerrero_1.gff3,Guerrero_1,Coccidioides immitis
OUT,Coccidioides posadasii,IL1,IL1.pep.fa,IL1.dna.fa,IL1.gff3,IL1,Coccidioides posadasii
OUT,Coccidioides posadasii,J_TORRES,J_TORRES.pep.fa,J_TORRES.dna.fa,J_TORRES.gff3,J_TORRES,Coccidioides posadasii
OUT,Coccidioides posadasii,KJH004,KJH004.pep.fa,KJH004.dna.fa,KJH004.gff3,KJH004,Coccidioides posadasii
OUT,Coccidioides posadasii,M191,M191.pep.fa,M191.dna.fa,M191.gff3,M191,Coccidioides posadasii
OUT,Coccidioides posadasii,M195,M195.pep.fa,M195.dna.fa,M195.gff3,M195,Coccidioides posadasii
OUT,Coccidioides posadasii,M196,M196.pep.fa,M196.dna.fa,M196.gff3,M196,Coccidioides posadasii
OUT,Coccidioides posadasii,M197,M197.pep.fa,M197.dna.fa,M197.gff3,M197,Coccidioides posadasii
OUT,Coccidioides posadasii,M198,M198.pep.fa,M198.dna.fa,M198.gff3,M198,Coccidioides posadasii
OUT,Coccidioides posadasii,M199,M199.pep.fa,M199.dna.fa,M199.gff3,M199,Coccidioides posadasii
OUT,Coccidioides posadasii,M1_5,M1_5.pep.fa,M1_5.dna.fa,M1_5.gff3,M1_5,Coccidioides posadasii
OUT,Coccidioides posadasii,M200,M200.pep.fa,M200.dna.fa,M200.gff3,M200,Coccidioides posadasii
OUT,Coccidioides posadasii,M201,M201.pep.fa,M201.dna.fa,M201.gff3,M201,Coccidioides posadasii
IN,Coccidioides immitis,M204,M204.pep.fa,M204.dna.fa,M204.gff3,M204,Coccidioides immitis
OUT,Coccidioides posadasii,M205,M205.pep.fa,M205.dna.fa,M205.gff3,M205,Coccidioides posadasii
OUT,Coccidioides posadasii,M206,M206.pep.fa,M206.dna.fa,M206.gff3,M206,Coccidioides posadasii
OUT,Coccidioides posadasii,M207,M207.pep.fa,M207.dna.fa,M207.gff3,M207,Coccidioides posadasii
OUT,Coccidioides posadasii,M208,M208.pep.fa,M208.dna.fa,M208.gff3,M208,Coccidioides posadasii
OUT,Coccidioides posadasii,M211,M211.pep.fa,M211.dna.fa,M211.gff3,M211,Coccidioides posadasii
OUT,Coccidioides posadasii,M213,M213.pep.fa,M213.dna.fa,M213.gff3,M213,Coccidioides posadasii
OUT,Coccidioides posadasii,M214,M214.pep.fa,M214.dna.fa,M214.gff3,M214,Coccidioides posadasii
OUT,Coccidioides posadasii,M215,M215.pep.fa,M215.dna.fa,M215.gff3,M215,Coccidioides posadasii
OUT,Coccidioides posadasii,M219,M219.pep.fa,M219.dna.fa,M219.gff3,M219,Coccidioides posadasii
OUT,Coccidioides posadasii,M220,M220.pep.fa,M220.dna.fa,M220.gff3,M220,Coccidioides posadasii
OUT,Coccidioides posadasii,M221,M221.pep.fa,M221.dna.fa,M221.gff3,M221,Coccidioides posadasii
OUT,Coccidioides posadasii,M222,M222.pep.fa,M222.dna.fa,M222.gff3,M222,Coccidioides posadasii
OUT,Coccidioides posadasii,M223,M223.pep.fa,M223.dna.fa,M223.gff3,M223,Coccidioides posadasii
OUT,Coccidioides posadasii,MJS,MJS.pep.fa,MJS.dna.fa,MJS.gff3,MJS,Coccidioides posadasii
OUT,Coccidioides posadasii,Michoacan_1,Michoacan_1.pep.fa,Michoacan_1.dna.fa,Michoacan_1.gff3,Michoacan_1,Coccidioides posadasii
IN,Coccidioides immitis,Michoacan_2,Michoacan_2.pep.fa,Michoacan_2.dna.fa,Michoacan_2.gff3,Michoacan_2,Coccidioides immitis
OUT,Coccidioides posadasii,NACVFR_2566,NACVFR_2566.pep.fa,NACVFR_2566.dna.fa,NACVFR_2566.gff3,NACVFR_2566,Coccidioides posadasii
OUT,Coccidioides posadasii,NACVFR_4542,NACVFR_4542.pep.fa,NACVFR_4542.dna.fa,NACVFR_4542.gff3,NACVFR_4542,Coccidioides posadasii
OUT,Coccidioides posadasii,NM_0369,NM_0369.pep.fa,NM_0369.dna.fa,NM_0369.gff3,NM_0369,Coccidioides posadasii
OUT,Coccidioides posadasii,NM_3006,NM_3006.pep.fa,NM_3006.dna.fa,NM_3006.gff3,NM_3006,Coccidioides posadasii
OUT,Coccidioides posadasii,NM_4233,NM_4233.pep.fa,NM_4233.dna.fa,NM_4233.gff3,NM_4233,Coccidioides posadasii
OUT,Coccidioides posadasii,NM_4708,NM_4708.pep.fa,NM_4708.dna.fa,NM_4708.gff3,NM_4708,Coccidioides posadasii
OUT,Coccidioides posadasii,NM_5945,NM_5945.pep.fa,NM_5945.dna.fa,NM_5945.gff3,NM_5945,Coccidioides posadasii
OUT,Coccidioides posadasii,NM_9837,NM_9837.pep.fa,NM_9837.dna.fa,NM_9837.gff3,NM_9837,Coccidioides posadasii
OUT,Coccidioides posadasii,Nuevo_Leon_1,Nuevo_Leon_1.pep.fa,Nuevo_Leon_1.dna.fa,Nuevo_Leon_1.gff3,Nuevo_Leon_1,Coccidioides posadasii
OUT,Coccidioides posadasii,Nuevo_Leon_2,Nuevo_Leon_2.pep.fa,Nuevo_Leon_2.dna.fa,Nuevo_Leon_2.gff3,Nuevo_Leon_2,Coccidioides posadasii
OUT,Coccidioides posadasii,Phoenix_1,Phoenix_1.pep.fa,Phoenix_1.dna.fa,Phoenix_1.gff3,Phoenix_1,Coccidioides posadasii
OUT,Coccidioides posadasii,Phoenix_2,Phoenix_2.pep.fa,Phoenix_2.dna.fa,Phoenix_2.gff3,Phoenix_2,Coccidioides posadasii
OUT,Coccidioides posadasii,Phoenix_3,Phoenix_3.pep.fa,Phoenix_3.dna.fa,Phoenix_3.gff3,Phoenix_3,Coccidioides posadasii
OUT,Coccidioides posadasii,Phoenix_4,Phoenix_4.pep.fa,Phoenix_4.dna.fa,Phoenix_4.gff3,Phoenix_4,Coccidioides posadasii
OUT,Coccidioides posadasii,Phoenix_5,Phoenix_5.pep.fa,Phoenix_5.dna.fa,Phoenix_5.gff3,Phoenix_5,Coccidioides posadasii
OUT,Coccidioides posadasii,Phoenix_6,Phoenix_6.pep.fa,Phoenix_6.dna.fa,Phoenix_6.gff3,Phoenix_6,Coccidioides posadasii
OUT,Coccidioides posadasii,Phoenix_7,Phoenix_7.pep.fa,Phoenix_7.dna.fa,Phoenix_7.gff3,Phoenix_7,Coccidioides posadasii
OUT,Coccidioides posadasii,Phoenix_8,Phoenix_8.pep.fa,Phoenix_8.dna.fa,Phoenix_8.gff3,Phoenix_8,Coccidioides posadasii
OUT,Coccidioides posadasii,Phoenix_9,Phoenix_9.pep.fa,Phoenix_9.dna.fa,Phoenix_9.gff3,Phoenix_9,Coccidioides posadasii
IN,Coccidioides immitis,RS,RS.pep.fa,RS.dna.fa,RS.gff3,RS,Coccidioides immitis
OUT,Coccidioides posadasii,SA12,SA12.pep.fa,SA12.dna.fa,SA12.gff3,SA12,Coccidioides posadasii
OUT,Coccidioides posadasii,SA14,SA14.pep.fa,SA14.dna.fa,SA14.gff3,SA14,Coccidioides posadasii
OUT,Coccidioides posadasii,SA2,SA2.pep.fa,SA2.dna.fa,SA2.gff3,SA2,Coccidioides posadasii
IN,Coccidioides immitis,SDVA1,SDVA1.pep.fa,SDVA1.dna.fa,SDVA1.gff3,SDVA1,Coccidioides immitis
OUT,Coccidioides posadasii,SDVA10,SDVA10.pep.fa,SDVA10.dna.fa,SDVA10.gff3,SDVA10,Coccidioides posadasii
OUT,Coccidioides posadasii,SDVA14,SDVA14.pep.fa,SDVA14.dna.fa,SDVA14.gff3,SDVA14,Coccidioides posadasii
IN,Coccidioides immitis,SDVA15,SDVA15.pep.fa,SDVA15.dna.fa,SDVA15.gff3,SDVA15,Coccidioides immitis
OUT,Coccidioides posadasii,SDVA16,SDVA16.pep.fa,SDVA16.dna.fa,SDVA16.gff3,SDVA16,Coccidioides posadasii
IN,Coccidioides immitis,SDVA17,SDVA17.pep.fa,SDVA17.dna.fa,SDVA17.gff3,SDVA17,Coccidioides immitis
IN,Coccidioides immitis,SDVA2,SDVA2.pep.fa,SDVA2.dna.fa,SDVA2.gff3,SDVA2,Coccidioides immitis
OUT,Coccidioides posadasii,SDVA20,SDVA20.pep.fa,SDVA20.dna.fa,SDVA20.gff3,SDVA20,Coccidioides posadasii
OUT,Coccidioides posadasii,SDVA25,SDVA25.pep.fa,SDVA25.dna.fa,SDVA25.gff3,SDVA25,Coccidioides posadasii
OUT,Coccidioides posadasii,SDVA26,SDVA26.pep.fa,SDVA26.dna.fa,SDVA26.gff3,SDVA26,Coccidioides posadasii
OUT,Coccidioides posadasii,SDVA27,SDVA27.pep.fa,SDVA27.dna.fa,SDVA27.gff3,SDVA27,Coccidioides posadasii
IN,Coccidioides immitis,SDVA3,SDVA3.pep.fa,SDVA3.dna.fa,SDVA3.gff3,SDVA3,Coccidioides immitis
IN,Coccidioides immitis,SDVA36,SDVA36.pep.fa,SDVA36.dna.fa,SDVA36.gff3,SDVA36,Coccidioides immitis
IN,Coccidioides immitis,SDVA38,SDVA38.pep.fa,SDVA38.dna.fa,SDVA38.gff3,SDVA38,Coccidioides immitis
IN,Coccidioides immitis,SDVA39,SDVA39.pep.fa,SDVA39.dna.fa,SDVA39.gff3,SDVA39,Coccidioides immitis
IN,Coccidioides immitis,SDVA4,SDVA4.pep.fa,SDVA4.dna.fa,SDVA4.gff3,SDVA4,Coccidioides immitis
IN,Coccidioides immitis,SDVA41,SDVA41.pep.fa,SDVA41.dna.fa,SDVA41.gff3,SDVA41,Coccidioides immitis
OUT,Coccidioides posadasii,SDVA42,SDVA42.pep.fa,SDVA42.dna.fa,SDVA42.gff3,SDVA42,Coccidioides posadasii
IN,Coccidioides immitis,SDVA44,SDVA44.pep.fa,SDVA44.dna.fa,SDVA44.gff3,SDVA44,Coccidioides immitis
OUT,Coccidioides posadasii,SDVA45,SDVA45.pep.fa,SDVA45.dna.fa,SDVA45.gff3,SDVA45,Coccidioides posadasii
OUT,Coccidioides posadasii,SDVA47,SDVA47.pep.fa,SDVA47.dna.fa,SDVA47.gff3,SDVA47,Coccidioides posadasii
IN,Coccidioides immitis,SDVA48,SDVA48.pep.fa,SDVA48.dna.fa,SDVA48.gff3,SDVA48,Coccidioides immitis
IN,Coccidioides immitis,SDVA5,SDVA5.pep.fa,SDVA5.dna.fa,SDVA5.gff3,SDVA5,Coccidioides immitis
IN,Coccidioides immitis,SDVA6,SDVA6.pep.fa,SDVA6.dna.fa,SDVA6.gff3,SDVA6,Coccidioides immitis
OUT,Coccidioides posadasii,SDVA7,SDVA7.pep.fa,SDVA7.dna.fa,SDVA7.gff3,SDVA7,Coccidioides posadasii
OUT,Coccidioides posadasii,SDVA8,SDVA8.pep.fa,SDVA8.dna.fa,SDVA8.gff3,SDVA8,Coccidioides posadasii
IN,Coccidioides immitis,SJV_1,SJV_1.pep.fa,SJV_1.dna.fa,SJV_1.gff3,SJV_1,Coccidioides immitis
IN,Coccidioides immitis,SJV_10,SJV_10.pep.fa,SJV_10.dna.fa,SJV_10.gff3,SJV_10,Coccidioides immitis
IN,Coccidioides immitis,SJV_11,SJV_11.pep.fa,SJV_11.dna.fa,SJV_11.gff3,SJV_11,Coccidioides immitis
IN,Coccidioides immitis,SJV_2,SJV_2.pep.fa,SJV_2.dna.fa,SJV_2.gff3,SJV_2,Coccidioides immitis
IN,Coccidioides immitis,SJV_4,SJV_4.pep.fa,SJV_4.dna.fa,SJV_4.gff3,SJV_4,Coccidioides immitis
IN,Coccidioides immitis,SJV_5,SJV_5.pep.fa,SJV_5.dna.fa,SJV_5.gff3,SJV_5,Coccidioides immitis
IN,Coccidioides immitis,SJV_6,SJV_6.pep.fa,SJV_6.dna.fa,SJV_6.gff3,SJV_6,Coccidioides immitis
IN,Coccidioides immitis,SJV_7,SJV_7.pep.fa,SJV_7.dna.fa,SJV_7.gff3,SJV_7,Coccidioides immitis
IN,Coccidioides immitis,SJV_8,SJV_8.pep.fa,SJV_8.dna.fa,SJV_8.gff3,SJV_8,Coccidioides immitis
IN,Coccidioides immitis,SJV_9,SJV_9.pep.fa,SJV_9.dna.fa,SJV_9.gff3,SJV_9,Coccidioides immitis
OUT,Coccidioides posadasii,SOIL_407-0_L_OLD_CPA0001,SOIL_407-0_L_OLD_CPA0001.pep.fa,SOIL_407-0_L_OLD_CPA0001.dna.fa,SOIL_407-0_L_OLD_CPA0001.gff3,SOIL_407-0_L_OLD_CPA0001,Coccidioides posadasii
OUT,Coccidioides posadasii,SOIL_485B-0_L_OLD_CPA0020,SOIL_485B-0_L_OLD_CPA0020.pep.fa,SOIL_485B-0_L_OLD_CPA0020.dna.fa,SOIL_485B-0_L_OLD_CPA0020.gff3,SOIL_485B-0_L_OLD_CPA0020,Coccidioides posadasii
OUT,Coccidioides posadasii,SOIL_573-2_L_NEW_CPA0035,SOIL_573-2_L_NEW_CPA0035.pep.fa,SOIL_573-2_L_NEW_CPA0035.dna.fa,SOIL_573-2_L_NEW_CPA0035.gff3,SOIL_573-2_L_NEW_CPA0035,Coccidioides posadasii
OUT,Coccidioides posadasii,SOIL_574-2_L_NEW_CPA0042,SOIL_574-2_L_NEW_CPA0042.pep.fa,SOIL_574-2_L_NEW_CPA0042.dna.fa,SOIL_574-2_L_NEW_CPA0042.gff3,SOIL_574-2_L_NEW_CPA0042,Coccidioides posadasii
