Short,Species,Strain,Group,TaxonGroup,Protein_Source,Protein_Accession,Taxon_ID,Genome_Source,Genome_Accession,GFF3_Source,GFF3_Accession
Scer,Saccharomyces cerevisiae,S288C,IN,Saccharomycotina,uniprot,UP000002311,559292,ncbi,GCA_000146045.2,,
Ylip,Yarrowia lipolytica,CLIB122,IN,Saccharomycotina,uniprot,UP000001300,284591,ncbi,GCA_000002525.1,,
Spom,Schizosaccharomyces pombe,972h,IN,Taphrinomycotina,uniprot,UP000002485,284812,ncbi,GCA_000002945.2,,
Nirr,Neolecta irregularis,DAH-3,IN,Taphrinomycotina,uniprot,UP000186594,1198029,ncbi,GCA_001929475.1,,
Ncra,Neurospora crassa,OR74A,OUT,Pezizomycotina,uniprot,UP000001805,367110,ncbi,GCA_000182925.2,,
Afum,Aspergillus fumigatus,Af293,OUT,Pezizomycotina,uniprot,UP000002530,330879,ncbi,GCA_000002655.1,,
Ztri,Zymoseptoria tritici,IPO323,OUT,Pezizomycotina,uniprot,UP000008062,336722,ncbi,GCA_000219625.1,,
Cimm,Coccidioides immitis,RS,OUT,Pezizomycotina,uniprot,UP000001261,246410,ncbi,GCA_000149335.2,,
