label	n	aph_adjacent	aph_within3
F01	11	0	0
F02	354	335	335
F03	343	342	342
F04	231	179	179
F05	191	188	189
F06	167	167	167
F07	165	165	165
F08	135	0	0
F09	114	113	113
F10	109	107	107
F11	102	100	101
F12	57	56	56
F13	37	33	33
F14	36	35	35
F15	18	0	4
F16	17	17	17
F17	14	0	0
F18	13	0	0
F19	12	0	0
F20	3	3	3
F21	3	3	3
F22	2	0	0
F23	2	2	2
F24	2	0	0
F25	2	2	2
F26	1	True	True
F27	1	True	True
F28	1	True	True
F29	1	False	False
F30	1	False	False
F31	1	True	True
F32	1	True	True
F33	1	False	False
F34	1	True	True
F35	1	True	True
F36	1	False	False
F37	1	True	True
F38	1	False	False
F39	7	0	1
F40	3	0	3
F41	3	0	0
F42	2	0	0
