ql	sl	pid	len	qlen	slen	qcov	ev	bits
F28	F07	100.0	103	103	129	1.0	6.3799999999999994e-68	199.0
F28	F20	97.6	85	103	225	0.83	1.04e-51	162.0
F28	F02	51.0	100	103	124	0.97	2.3800000000000002e-27	97.1
F28	F25	50.5	97	103	98	0.94	5.39e-26	92.8
F19	F08	88.0	117	103	117	1.0	4.1600000000000003e-66	194.0
F19	F30	81.9	105	103	100	1.0	1.24e-50	155.0
F19	F18	100.0	45	103	62	0.44	6.73e-25	89.0
F19	F36	100.0	43	103	62	0.42	1.5699999999999997e-23	85.5
F19	F10	35.6	118	103	119	0.97	3.6e-15	65.9
F19	F29	31.4	118	103	140	0.97	6.02e-11	55.5
F19	F17	46.6	58	103	108	0.56	4.92e-10	52.4
F19	F16	35.7	112	103	120	0.9	1.91e-08	48.5
F36	F18	72.6	62	62	62	1.0	3.84e-25	87.8
F36	F30	72.1	61	62	100	0.98	4.3399999999999995e-24	86.3
F36	F19	100.0	43	62	103	0.69	6.68e-24	85.9
F36	F08	100.0	43	62	117	0.69	9.74e-24	85.9
F25	F02	100.0	98	98	124	1.0	2.02e-64	190.0
F25	F28	50.5	97	98	103	0.99	2.95e-25	90.9
F25	F07	50.5	97	98	129	0.99	5.99e-25	90.9
F25	F20	53.8	78	98	225	0.8	1.15e-19	79.7
F10	F29	88.1	118	119	140	0.99	2.73e-71	209.0
F10	F17	88.0	108	119	108	0.91	3.48e-65	192.0
F10	F08	43.2	118	119	117	0.99	7.57e-24	88.6
F10	F19	35.6	118	119	103	0.99	2.94e-15	66.2
F10	F30	33.9	118	119	100	0.99	6.89e-13	60.1
F10	F16	32.5	120	119	120	0.99	8.53e-12	57.8
F10	F18	40.7	59	119	62	0.5	6.18e-09	48.9
F10	F09	32.9	76	119	124	0.61	6.72e-07	45.1
F23	F03	84.3	102	134	122	0.76	9.099999999999999e-61	182.0
F23	F35	94.4	71	134	126	0.51	8.07e-44	140.0
F23	F22	53.4	103	134	180	0.76	5.47e-33	114.0
F23	F15	48.2	114	134	146	0.84	3.46e-32	111.0
F23	F05	48.2	83	134	117	0.61	3.72e-20	79.7
F23	F27	45.1	82	134	165	0.61	8.54e-20	80.1
F23	F11	46.5	43	134	87	0.32	8.76e-08	47.0
F23	F37	52.9	34	134	53	0.25	6.22e-07	43.9
F20	F07	98.2	111	225	129	0.49	1.3e-68	206.0
F20	F28	97.6	85	225	103	0.38	7.979999999999999e-52	163.0
F20	F02	53.0	100	225	124	0.44	2.52e-24	93.6
F20	F25	54.5	77	225	98	0.34	1.24e-20	83.2
F01	F42	97.1	339	667	427	0.51	4.15e-231	648.0
F39	F41	99.6	280	290	366	0.97	6.17e-211	578.0
F32	F06	93.5	124	154	170	0.81	6.93e-76	223.0
F32	F14	89.7	78	154	124	0.51	1.1300000000000001e-43	140.0
F32	F21	84.5	58	154	145	0.38	2e-28	102.0
F05	F27	99.1	112	117	165	0.96	1.37e-78	228.0
F05	F11	92.5	67	117	87	0.56	1.17e-40	130.0
F05	F22	51.5	97	117	180	0.8	1.2400000000000001e-26	97.4
F05	F15	57.5	80	117	146	0.68	2.0700000000000002e-26	95.9
F05	F03	54.3	81	117	122	0.68	1.7499999999999999e-25	92.8
F05	F37	97.2	36	117	53	0.31	3.95e-21	79.7
F05	F23	48.2	83	117	134	0.64	3.66e-19	77.0
F05	F35	52.6	38	117	126	0.32	7.68e-10	52.8
F08	F19	88.0	117	117	103	1.0	6.71e-66	194.0
F08	F30	83.8	117	117	100	1.0	3.81e-60	179.0
F08	F18	100.0	59	117	62	0.5	1.02e-34	114.0
F08	F36	100.0	43	117	62	0.37	2.6099999999999997e-23	85.5
F08	F10	43.2	118	117	119	0.97	2.9999999999999994e-23	87.0
F08	F29	37.3	118	117	140	0.97	1.34e-17	73.2
F08	F17	39.8	103	117	108	0.85	7.82e-16	67.8
F08	F16	42.0	112	117	120	0.91	1.17e-14	65.1
F08	F09	32.6	92	117	124	0.73	3.4e-06	43.1
F38	F31	82.2	90	90	90	1.0	2.99e-48	148.0
F38	F26	82.2	90	90	151	1.0	1.37e-47	148.0
F38	F12	82.2	90	90	178	1.0	3.1100000000000002e-47	148.0
F38	F33	82.2	90	90	202	1.0	6.3e-47	148.0
F38	F04	77.8	90	90	125	1.0	5.61e-44	138.0
F38	F24	78.7	61	90	62	0.68	4.49e-29	99.0
F11	F27	67.3	107	87	165	1.0	3.63e-40	130.0
F11	F05	67.3	104	87	117	0.97	7.16e-40	127.0
F11	F37	100.0	53	87	53	0.61	2.08e-34	112.0
F11	F03	50.0	54	87	122	0.62	2.74e-10	52.8
F11	F15	52.7	55	87	146	0.62	1.18e-09	51.6
F11	F22	52.7	55	87	180	0.62	1.9e-09	51.6
F11	F23	46.5	43	87	134	0.49	8.5e-07	43.9
F33	F26	83.5	139	202	151	0.69	1.9299999999999997e-74	221.0
F33	F12	100.0	108	202	178	0.53	4.46e-72	216.0
F33	F04	93.5	108	202	125	0.53	9.43e-67	201.0
F33	F31	97.8	90	202	90	0.45	5.83e-58	177.0
F33	F38	83.1	89	202	90	0.44	2.47e-47	150.0
F33	F24	95.2	62	202	62	0.31	5.78e-35	118.0
F33	F16	35.0	80	202	120	0.38	5.61e-07	47.0
F33	F13	30.2	96	202	117	0.46	2.65e-06	45.1
F33	F28	38.5	65	202	103	0.3	5.32e-06	43.9
F33	F07	38.5	65	202	129	0.3	8.5e-06	43.9
F27	F05	99.1	112	165	117	0.68	1.59e-77	226.0
F27	F11	91.4	70	165	87	0.42	9.78e-40	129.0
F27	F15	57.5	80	165	146	0.48	4.2e-25	94.4
F27	F22	53.8	91	165	180	0.53	5.01e-25	95.1
F27	F03	52.5	80	165	122	0.48	1.75e-24	92.0
F27	F37	94.4	36	165	53	0.22	5.72e-19	75.9
F27	F23	45.1	82	165	134	0.45	4.56e-18	75.9
F27	F35	47.1	51	165	126	0.3	1.8e-09	53.1
F42	F01	97.1	339	427	667	0.79	1.07e-230	646.0
