Short,Species,Strain,Group,TaxonGroup,Protein_Source,Protein_Accession,Taxon_ID,Genome_Source,Genome_Accession,GFF3_Source,GFF3_Accession
Fuox_54006,Fusarium odoratissimum,54006,IN,no-fsp-in-name,ncbi,GCA_000260195.2,1089451,ncbi,GCA_000260195.2,,
Fuox_Foa_44,Fusarium oxysporum,Foa 44,IN,albedinis,ncbi,GCA_032206225.1,72712,ncbi,GCA_032206225.1,,
Fuox_FoC_Fus2,Fusarium oxysporum,FoC_Fus2,IN,cepae,ncbi,GCA_003615085.1,396571,ncbi,GCA_003615085.1,,
Fuox_Fo5176,Fusarium oxysporum,Fo5176,IN,conglutinans,ncbi,GCA_025331925.1,5507,ncbi,GCA_025331925.1,,
Fuox_TwR11,Fusarium oxysporum,Tw-R1-1,IN,cubense,ncbi,GCA_053754955.2,61366,ncbi,GCA_053754955.2,,
Fuox_4287,Fusarium oxysporum,4287,IN,lycopersici,ncbi,GCA_000149955.2,426428,ncbi,GCA_000149955.2,,
Fuox_Stocks4,Fusarium oxysporum,Stocks4,IN,matthiolae,ncbi,GCA_020796175.1,96317,ncbi,GCA_020796175.1,,
Fuox_26406,Fusarium oxysporum,26406,IN,melonis,ncbi,GCA_000260495.2,1089452,ncbi,GCA_000260495.2,,
Fuox_RF12,Fusarium oxysporum,RF12,IN,mori,ncbi,GCA_051622415.1,1940294,ncbi,GCA_051622415.1,,
Fuox_N139,Fusarium oxysporum,N139,IN,narcissi,ncbi,GCA_004141715.1,451672,ncbi,GCA_004141715.1,,
Fuox_Fo47,Fusarium oxysporum,Fo47,IN,no-fsp-in-name,ncbi,GCA_013085055.1,660027,ncbi,GCA_013085055.1,,
Fuox_FOPSP1,Fusarium oxysporum,FOP-SP1,IN,phaseoli,ncbi,GCA_054130785.1,251360,ncbi,GCA_054130785.1,,
Fuox_HDV247,Fusarium oxysporum,HDV247,IN,pisi,ncbi,GCA_000260075.2,1080344,ncbi,GCA_000260075.2,,
Fuox_Forc016,Fusarium oxysporum,Forc016,IN,radicis-cucumerinum,ncbi,GCA_001702695.2,327505,ncbi,GCA_001702695.2,,
Fuox_26381,Fusarium oxysporum,26381,IN,radicis-lycopersici,ncbi,GCA_000260155.3,1089448,ncbi,GCA_000260155.3,,
Fuox_F38,Fusarium oxysporum,F38,IN,rapae,ncbi,GCA_057814765.1,485398,ncbi,GCA_057814765.1,,
Fuox_54005,Fusarium oxysporum,54005,IN,raphani,ncbi,GCA_000260235.2,1089458,ncbi,GCA_000260235.2,,
Fuox_ME23,Fusarium oxysporum,ME23,IN,vasinfectum,ncbi,GCA_030719095.1,61374,ncbi,GCA_030719095.1,,
Fuox_pin22,Fusarium oxysporum,pin22,IN,zingiberi,ncbi,GCA_051624415.1,654400,ncbi,GCA_051624415.1,,
Fuso_SB1,Fusarium solani,SB1,OUT,no-fsp-in-name,ncbi,GCA_023522795.1,169388,ncbi,GCA_023522795.1,,
Fufu_IMI_58289,Fusarium fujikuroi,IMI 58289,OUT,no-fsp-in-name,ncbi,GCA_900079805.1,1279085,ncbi,GCA_900079805.1,,
Fugr_PH1_NRRL_31084,Fusarium graminearum,PH-1; NRRL 31084,OUT,no-fsp-in-name,ncbi,GCA_000240135.3,229533,ncbi,GCA_000240135.3,,
Fuin_CF00095,Fusarium equiseti,CF00095,OUT,no-fsp-in-name,ncbi,GCA_027945365.1,61235,ncbi,GCA_027945365.1,,
