GROUP,Species,Strain,Protein,DNA,GFF3,Short,TaxonGroup
OUT,Klebsiella oxytoca,KOHN1,KoxO_050916275.pep.fa,KoxO_050916275.dna.fa,KoxO_050916275.gff3,KoxO_050916275,Mammal_koxytoca
OUT,Klebsiella oxytoca,IR5392,KoxO_017310465.pep.fa,KoxO_017310465.dna.fa,KoxO_017310465.gff3,KoxO_017310465,Mammal_koxytoca
OUT,Klebsiella oxytoca,cpe088,KoxO_929608445.pep.fa,KoxO_929608445.dna.fa,KoxO_929608445.gff3,KoxO_929608445,Mammal_koxytoca
OUT,Klebsiella oxytoca,ST106KO11,KoxO_040561445.pep.fa,KoxO_040561445.dna.fa,KoxO_040561445.gff3,KoxO_040561445,Mammal_koxytoca
OUT,Klebsiella oxytoca,2880STDY5682743,KoxO_900083795.pep.fa,KoxO_900083795.dna.fa,KoxO_900083795.gff3,KoxO_900083795,Mammal_koxytoca
OUT,Klebsiella oxytoca,ST34,KoxO_024918735.pep.fa,KoxO_024918735.dna.fa,KoxO_024918735.gff3,KoxO_024918735,Mammal_koxytoca
OUT,Klebsiella oxytoca,4928STDY7071180,KoxO_902162875.pep.fa,KoxO_902162875.dna.fa,KoxO_902162875.gff3,KoxO_902162875,Mammal_koxytoca
OUT,Klebsiella oxytoca,KP111,KoxO_053276915.pep.fa,KoxO_053276915.dna.fa,KoxO_053276915.gff3,KoxO_053276915,Mammal_koxytoca
OUT,Klebsiella oxytoca,NMI1636_19,KoxO_030343105.pep.fa,KoxO_030343105.dna.fa,KoxO_030343105.gff3,KoxO_030343105,Mammal_koxytoca
OUT,Klebsiella oxytoca,NMI2383_18,KoxO_030343375.pep.fa,KoxO_030343375.dna.fa,KoxO_030343375.gff3,KoxO_030343375,Mammal_koxytoca
OUT,Klebsiella oxytoca,KLEB012,KoxO_016734995.pep.fa,KoxO_016734995.dna.fa,KoxO_016734995.gff3,KoxO_016734995,Mammal_koxytoca
OUT,Klebsiella oxytoca,NMI4062_17,KoxO_030343565.pep.fa,KoxO_030343565.dna.fa,KoxO_030343565.gff3,KoxO_030343565,Mammal_koxytoca
OUT,Klebsiella oxytoca,2880STDY5682534,KoxO_900083995.pep.fa,KoxO_900083995.dna.fa,KoxO_900083995.gff3,KoxO_900083995,Mammal_koxytoca
OUT,Klebsiella oxytoca,SO-KOX16-1,KoxO_004360035.pep.fa,KoxO_004360035.dna.fa,KoxO_004360035.gff3,KoxO_004360035,Mammal_koxytoca
OUT,Klebsiella oxytoca,NMI4566_15,KoxO_030344075.pep.fa,KoxO_030344075.dna.fa,KoxO_030344075.gff3,KoxO_030344075,Mammal_koxytoca
OUT,Klebsiella oxytoca,KO67,KoxO_051951865.pep.fa,KoxO_051951865.dna.fa,KoxO_051951865.gff3,KoxO_051951865,Mammal_koxytoca
IN,Klebsiella oxytoca,UHM102bin47,UHM102bin47.pep.fa,UHM102bin47.dna.fa,,UHM102bin47,UHM_koxytoca
IN,Klebsiella oxytoca,UHM125bin22,UHM125bin22.pep.fa,UHM125bin22.dna.fa,,UHM125bin22,UHM_koxytoca
IN,Klebsiella oxytoca,UHM125bin48,UHM125bin48.pep.fa,UHM125bin48.dna.fa,,UHM125bin48,UHM_koxytoca
IN,Klebsiella oxytoca,UHM145bin17,UHM145bin17.pep.fa,UHM145bin17.dna.fa,,UHM145bin17,UHM_koxytoca
IN,Klebsiella oxytoca,UHM145bin33,UHM145bin33.pep.fa,UHM145bin33.dna.fa,,UHM145bin33,UHM_koxytoca
IN,Klebsiella oxytoca,UHM145bin28,UHM145bin28.pep.fa,UHM145bin28.dna.fa,,UHM145bin28,UHM_koxytoca
IN,Klebsiella oxytoca,UHM17bin35,UHM17bin35.pep.fa,UHM17bin35.dna.fa,,UHM17bin35,UHM_koxytoca
IN,Klebsiella oxytoca,UHM18bin40,UHM18bin40.pep.fa,UHM18bin40.dna.fa,,UHM18bin40,UHM_koxytoca
IN,Klebsiella oxytoca,UHM20bin40,UHM20bin40.pep.fa,UHM20bin40.dna.fa,,UHM20bin40,UHM_koxytoca
IN,Klebsiella oxytoca,UHM20bin12,UHM20bin12.pep.fa,UHM20bin12.dna.fa,,UHM20bin12,UHM_koxytoca
IN,Klebsiella oxytoca,UHM22bin50,UHM22bin50.pep.fa,UHM22bin50.dna.fa,,UHM22bin50,UHM_koxytoca
IN,Klebsiella oxytoca,UHM22bin54,UHM22bin54.pep.fa,UHM22bin54.dna.fa,,UHM22bin54,UHM_koxytoca
IN,Klebsiella oxytoca,UHM22bin8,UHM22bin8.pep.fa,UHM22bin8.dna.fa,,UHM22bin8,UHM_koxytoca
IN,Klebsiella oxytoca,UHM40bin4,UHM40bin4.pep.fa,UHM40bin4.dna.fa,,UHM40bin4,UHM_koxytoca
IN,Klebsiella oxytoca,UHM40bin27,UHM40bin27.pep.fa,UHM40bin27.dna.fa,,UHM40bin27,UHM_koxytoca
IN,Klebsiella oxytoca,UHM43bin53,UHM43bin53.pep.fa,UHM43bin53.dna.fa,,UHM43bin53,UHM_koxytoca
IN,Klebsiella oxytoca,UHM56bin19,UHM56bin19.pep.fa,UHM56bin19.dna.fa,,UHM56bin19,UHM_koxytoca
IN,Klebsiella oxytoca,UHM72bin19,UHM72bin19.pep.fa,UHM72bin19.dna.fa,,UHM72bin19,UHM_koxytoca
