Short,Species,Strain,Group,TaxonGroup,Protein_Source,Protein_Accession,Taxon_ID,Genome_Source,Genome_Accession,GFF3_Source,GFF3_Accession
Scom,Schizophyllum commune,H4-8,IN,Agaricales,ncbi,GCF_000143185.2,578458,ncbi,GCF_000143185.2,,
Ccin,Coprinopsis cinerea,Okayama7#130,IN,Agaricales,ncbi,GCA_000182895.1,240176,ncbi,GCA_000182895.1,,
Agbi,Agaricus bisporus var. burnettii,JB137-S8,IN,Agaricales,ncbi,GCA_000300555.1,597362,ncbi,GCA_000300555.1,,
Lbic,Laccaria bicolor,S238N-H82,IN,Agaricales,ncbi,GCA_000143565.1,486041,ncbi,GCA_000143565.1,,
Cneo,Cryptococcus neoformans,H99,OUT,Tremellomycetes,ncbi,GCA_000149245.1,235443,ncbi,GCA_000149245.1,,
Umay,Ustilago maydis,521,OUT,Ustilaginomycotina,ncbi,GCA_000328475.2,5270,ncbi,GCA_000328475.2,,
Rtor,Rhodotorula toruloides,NP11,OUT,Pucciniomycotina,ncbi,GCA_000320785.1,1130832,ncbi,GCA_000320785.1,,
