tier	wall_hours	cpu_hours	note
P	0.192	2.721	COMPLETE: all-vs-all search measured from 36 *_SEARCH/*_MAKEDB trace rows (0.091 wall-h, 2.244 cpu-h), plus DIAMOND_SELF, PARSE_HITS, PARSE_SELF_HITS, TBLASTN(+MAKEDB), BUILD_PRESENCE_MATRIX.
C+H	31.287	641.182	PROFILE_SEARCH:* (gain-side family-profile pathway), measured directly.
C+H_loss	96.206	2663.815	PROFILE_LOSS_SEARCH:* (loss-side equivalent), measured directly.
C	0.0	0.0	Free byproduct of Tier C+H's own clustering step.
R	0.011		Measured directly with `time` around refine_ambiguous_families.py (gain) -- not read from any trace file (plain subprocess call, no trace row). cpu_hours not measured.
R_loss	0.102		Measured directly with `time` around refine_ambiguous_families.py (loss) -- not read from any trace file (plain subprocess call, no trace row). cpu_hours not measured.
