Species,Strain,Protein,DNA,Short,Lineage
Coprinopsis cinerea,okayama7_130,Coprinopsis_cinerea_okayama7_130.aa.fasta,Coprinopsis_cinerea_okayama7_130.fasta,Coprcine,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae;Coprinopsis
Cordyceps militaris,CM01,Cordyceps_militaris_CM01.Cormi1.aa.fasta,Cordyceps_militaris_CM01.Cormi1.fasta,Cordmili,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Cordyceps
Corynespora cassiicola,CCP,Corynespora_cassiicola_CCP.Corca1.v1.aa.fasta,Corynespora_cassiicola_CCP.Corca1.v1.fasta,Corycass,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Corynesporascaceae;Corynespora
Cryphonectria parasitica,EP155,Cryphonectria_parasitica_EP155.Crypa2.v2.aa.fasta,Cryphonectria_parasitica_EP155.Crypa2.v2.fasta,Cryppara,Fungi;Ascomycota;Sordariomycetes;Diaporthales;Cryphonectriaceae;Cryphonectria
Cryptococcus neoformans,var,Cryptococcus_neoformans_var._neoformans_JEC21.aa.fasta,Cryptococcus_neoformans_var._neoformans_JEC21.fasta,Crypneof,Fungi;Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus
Cucurbitaria berberidis,CBS_394,Cucurbitaria_berberidis_CBS_394.84.Cucbe1.v1.aa.fasta,Cucurbitaria_berberidis_CBS_394.84.Cucbe1.v1.fasta,Cucuberb,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Cucurbitariaceae;Cucurbitaria
Cylindrobasidium torrendii,FP15055_ss-10,Cylindrobasidium_torrendii_FP15055_ss-10.Cylto1.v1.aa.fasta,Cylindrobasidium_torrendii_FP15055_ss-10.Cylto1.v1.fasta,Cylitorr,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Physalacriaceae;Cylindrobasidium
Cyphellophora europaea,CBS_101466,Cyphellophora_europaea_CBS_101466.aa.fasta,Cyphellophora_europaea_CBS_101466.fasta,Cypheuro,Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Cyphellophoraceae;Cyphellophora
Debaryomyces hansenii,CBS_767,Debaryomyces_hansenii_CBS_767.aa.fasta,Debaryomyces_hansenii_CBS_767.fasta,Debahans,Fungi;Ascomycota;Pichiomycetes;Serinales;Debaryomycetaceae;Debaryomyces
Delitschia confertaspora,ATCC_74209,Delitschia_confertaspora_ATCC_74209.Delco1.v1.aa.fasta,Delitschia_confertaspora_ATCC_74209.Delco1.v1.fasta,Deliconf,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Delitschiaceae;Delitschia
Dendrothele bispora,CBS_962,Dendrothele_bispora_CBS_962.96.Denbi1.v1.aa.fasta,Dendrothele_bispora_CBS_962.96.Denbi1.v1.fasta,Dendbisp,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Dendrothele
Dibaeis baeomyces,1,Dibaeis_baeomyces.v0_1.aa.fasta,Dibaeis_baeomyces.v0_1.fasta,Dibabaeo,Fungi;Ascomycota;Lecanoromycetes;Pertusariales;Icmadophilaceae;Dibaeis
Dichomitus squalens,LYAD-421_SS1,Dichomitus_squalens_LYAD-421_SS1.Dicsq1.v1.aa.fasta,Dichomitus_squalens_LYAD-421_SS1.Dicsq1.v1.fasta,Dichsqua,Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporaceae;Dichomitus
Didymella exigua,CBS_183,Didymella_exigua_CBS_183.55.Didex1.v1.aa.fasta,Didymella_exigua_CBS_183.55.Didex1.v1.fasta,Didyexig,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Didymella
Dissoconium aciculare,CBS_342,Dissoconium_aciculare_CBS_342.82.Disac1.v1.aa.fasta,Dissoconium_aciculare_CBS_342.82.Disac1.v1.fasta,Dissacic,Fungi;Ascomycota;Dothideomycetes;Mycosphaerellales;Dissoconiaceae;Dissoconium
Dothidotthia symphoricarpi,CBS_119687,Dothidotthia_symphoricarpi_CBS_119687.Dotsy1.v1.aa.fasta,Dothidotthia_symphoricarpi_CBS_119687.Dotsy1.v1.fasta,Dothsymp,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Dothidotthiaceae;Dothidotthia
Dothistroma septosporum,NZE10,Dothistroma_septosporum_NZE10.Dotse1.v1.aa.fasta,Dothistroma_septosporum_NZE10.Dotse1.v1.fasta,Dothsept,Fungi;Ascomycota;Dothideomycetes;Mycosphaerellales;Mycosphaerellaceae;Dothistroma
Encephalitozoon cuniculi,GB-M1,Encephalitozoon_cuniculi_GB-M1.Enccu1.aa.fasta,Encephalitozoon_cuniculi_GB-M1.Enccu1.fasta,Encecuni,Fungi;Microsporidia;Unikaryonidae;Encephalitozoon
Encephalitozoon hellem,ATCC_50504,Encephalitozoon_hellem_ATCC_50504.Enche1.aa.fasta,Encephalitozoon_hellem_ATCC_50504.Enche1.fasta,Encehell,Fungi;Microsporidia;Unikaryonidae;Encephalitozoon
Encephalitozoon intestinalis,ATCC_50506,Encephalitozoon_intestinalis_ATCC_50506.Encin1.aa.fasta,Encephalitozoon_intestinalis_ATCC_50506.Encin1.fasta,Enceinte,Fungi;Microsporidia;Unikaryonidae;Encephalitozoon
Encephalitozoon romaleae,SJ-2008,Encephalitozoon_romaleae_SJ-2008.Encro1.aa.fasta,Encephalitozoon_romaleae_SJ-2008.Encro1.fasta,Enceroma,Fungi;Microsporidia;Unikaryonidae;Encephalitozoon
Enterocytozoon bieneusi,H348,Enterocytozoon_bieneusi_H348.Entbi1.aa.fasta,Enterocytozoon_bieneusi_H348.Entbi1.fasta,Entebien,Fungi;Microsporidia;Enterocytozoonidae;Enterocytozoon
Epichloe festucae,E894,Epichloe_festucae_E894.vM3.aa.fasta,Epichloe_festucae_E894.vM3.fasta,Epicfest,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Clavicipitaceae;Epichloe
Eremomyces bilateralis,CBS_781,Eremomyces_bilateralis_CBS_781.70.Erebi1.v1.aa.fasta,Eremomyces_bilateralis_CBS_781.70.Erebi1.v1.fasta,Erembila,Fungi;Ascomycota;Dothideomycetes;Eremomycetales;Eremomycetaceae;Eremomyces
Eutypa lata,UCREL1,Eutypa_lata_UCREL1.v1.aa.fasta,Eutypa_lata_UCREL1.v1.fasta,Eutylata,Fungi;Ascomycota;Sordariomycetes;Xylariales;Diatrypaceae;Eutypa
Exidia glandulosa,HHB12029,Exidia_glandulosa_HHB12029.Exigl1.v1.aa.fasta,Exidia_glandulosa_HHB12029.Exigl1.v1.fasta,Exidglan,Fungi;Basidiomycota;Agaricomycetes;Auriculariales;Exidiaceae;Exidia
Exophiala dermatitidis,NIH_UT8656,Exophiala_dermatitidis_NIH_UT8656.aa.fasta,Exophiala_dermatitidis_NIH_UT8656.fasta,Exopderm,Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Exophiala
Fibroporia radiculosa,TFFH_294,Fibroporia_radiculosa_TFFH_294.aa.fasta,Fibroporia_radiculosa_TFFH_294.fasta,Fibrradi,Fungi;Basidiomycota;Agaricomycetes;Polyporales;Fibroporiaceae;Fibroporia
Fistulina hepatica,ATCC_64428,Fistulina_hepatica_ATCC_64428.Fishe1.v1.aa.fasta,Fistulina_hepatica_ATCC_64428.Fishe1.v1.fasta,Fisthepa,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Fistulinaceae;Fistulina
Fomitiporia mediterranea,MF3-22,Fomitiporia_mediterranea_MF3-22.Fomme1.v1.aa.fasta,Fomitiporia_mediterranea_MF3-22.Fomme1.v1.fasta,Fomimedi,Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;Hymenochaetaceae;Fomitiporia
Fomitopsis pinicola,FP-58527_SS1,Fomitopsis_pinicola_FP-58527_SS1.Fompi3.v3.aa.fasta,Fomitopsis_pinicola_FP-58527_SS1.Fompi3.v3.fasta,Fomipini,Fungi;Basidiomycota;Agaricomycetes;Polyporales;Fomitopsidaceae;Fomitopsis
Fusarium fujikuroi,IMI58289,Fusarium_fujikuroi_IMI58289.aa.fasta,Fusarium_fujikuroi_IMI58289.fasta,Fusafuji,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium
Fusarium graminearum,PH-1,Fusarium_graminearum_PH-1.aa.fasta,Fusarium_graminearum_PH-1.fasta,Fusagram,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium
Galerina marginata,CBS_339,Galerina_marginata_CBS_339.88.Galma1.v1.aa.fasta,Galerina_marginata_CBS_339.88.Galma1.v1.fasta,Galemarg,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Galerinaceae;Galerina
Glarea lozoyensis,74030,Glarea_lozoyensis_74030.aa.fasta,Glarea_lozoyensis_74030.fasta,Glarlozo,Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Glarea
Gloeophyllum trabeum,ATCC_11539,Gloeophyllum_trabeum_ATCC_11539.Glotr1_1.v1.aa.fasta,Gloeophyllum_trabeum_ATCC_11539.Glotr1_1.v1.fasta,Gloetrab,Fungi;Basidiomycota;Agaricomycetes;Gloeophyllales;Gloeophyllaceae;Gloeophyllum
Glonium stellatum,,Glonium_stellatum.Glost2.v1.aa.fasta,Glonium_stellatum.Glost2.v1.fasta,Glonstel,Fungi;Ascomycota;Dothideomycetes;Gloniales;Gloniaceae;Glonium
Gonapodya prolifera,JEL478,Gonapodya_prolifera_JEL478.Ganpr1.v1.aa.fasta,Gonapodya_prolifera_JEL478.Ganpr1.v1.fasta,Gonaprol,Fungi;Monoblepharomycota;Monoblepharidomycetes;Monoblepharidales;Gonapodyaceae;Gonapodya
Gyrodon lividus,BX,Gyrodon_lividus_BX.Gyrli1.v1.aa.fasta,Gyrodon_lividus_BX.Gyrli1.v1.fasta,Gyrolivi,Fungi;Basidiomycota;Agaricomycetes;Boletales;Gyrodontaceae;Gyrodon
Hebeloma cylindrosporum,h7,Hebeloma_cylindrosporum_h7.Hebcy2.v2.aa.fasta,Hebeloma_cylindrosporum_h7.Hebcy2.v2.fasta,Hebecyli,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Hymenogastraceae;Hebeloma
Hesseltinella vesiculosa,NRRL_3301,Hesseltinella_vesiculosa_NRRL_3301.Hesve2finisherSC.v2.aa.fasta,Hesseltinella_vesiculosa_NRRL_3301.Hesve2finisherSC.v2.fasta,Hessvesi,Fungi;Mucoromycota;Mucoromycetes;Mucorales;Cunninghamellaceae;Hesseltinella
Heterobasidion annosum,TC_32-1,Heterobasidion_annosum_TC_32-1.Hetan2.v2.aa.fasta,Heterobasidion_annosum_TC_32-1.Hetan2.v2.fasta,Heteanno,Fungi;Basidiomycota;Agaricomycetes;Russulales;Bondarzewiaceae;Heterobasidion
Heterogastridium pycnidioideum,ATCC_MYA-4631,Heterogastridium_pycnidioideum_ATCC_MYA-4631.Hetpy1.v1.aa.fasta,Heterogastridium_pycnidioideum_ATCC_MYA-4631.Hetpy1.v1.fasta,Hetepycn,Fungi;Basidiomycota;Microbotryomycetes;Heterogastridiales;Heterogastridiaceae;Heterogastridium
Hortaea werneckii,EXF-2000,Hortaea_werneckii_EXF-2000.v2_M0.aa.fasta,Hortaea_werneckii_EXF-2000.v2_M0.fasta,Hortwern,Fungi;Ascomycota;Dothideomycetes;Mycosphaerellales;Teratosphaeriaceae;Hortaea
Hymenoscyphus fraxineus,KW1,Hymenoscyphus_fraxineus_KW1.v1.aa.fasta,Hymenoscyphus_fraxineus_KW1.v1.fasta,Hymefrax,Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Hymenoscyphus
Hypholoma sublateritium,,Hypholoma_sublateritium.Hypsu1.v1.aa.fasta,Hypholoma_sublateritium.Hypsu1.v1.fasta,Hyphsubl,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Strophariaceae;Hypholoma
Hysterium pulicare,CBS_123377,Hysterium_pulicare_CBS_123377.Hyspu1_1.aa.fasta,Hysterium_pulicare_CBS_123377.Hyspu1_1.fasta,Hystpuli,Fungi;Ascomycota;Dothideomycetes;Hysteriales;Hysteriaceae;Hysterium
Jaapia argillacea,MUCL_33604,Jaapia_argillacea_MUCL_33604.Jaaar1.v1.aa.fasta,Jaapia_argillacea_MUCL_33604.Jaaar1.v1.fasta,Jaapargi,Fungi;Basidiomycota;Agaricomycetes;Jaapiales;Jaapiaceae;Jaapia
Karstenula rhodostoma,CBS_690,Karstenula_rhodostoma_CBS_690.94.Karrh1.v1.aa.fasta,Karstenula_rhodostoma_CBS_690.94.Karrh1.v1.fasta,Karsrhod,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymosphaeriaceae;Karstenula
Kazachstania africana,CBS_2517,Kazachstania_africana_CBS_2517.aa.fasta,Kazachstania_africana_CBS_2517.fasta,Kazaafri,Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kazachstania
Kluyveromyces lactis,NRRL_Y-1140,Kluyveromyces_lactis_NRRL_Y-1140.aa.fasta,Kluyveromyces_lactis_NRRL_Y-1140.fasta,Kluylact,Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kluyveromyces
Komagataella pastoris,GS115,Komagataella_pastoris_GS115.aa.fasta,Komagataella_pastoris_GS115.fasta,Komapast,Fungi;Ascomycota;Pichiomycetes;Pichiales;Pichiaceae;Komagataella
Kuraishia capsulata,CBS_1993,Kuraishia_capsulata_CBS_1993.aa.fasta,Kuraishia_capsulata_CBS_1993.fasta,Kuracaps,Fungi;Ascomycota;Pichiomycetes;Pichiales;Pichiaceae;Kuraishia
