Species,Strain,Protein,DNA,Short,Lineage
Agaricus bisporus,var_bisporus_H97,Agaricus_bisporus_var_bisporus_H97.Agabi_varbisH97_2.v2.aa.fasta,Agaricus_bisporus_var_bisporus_H97.Agabi_varbisH97_2.v2.fasta,Agarbisp,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae;Agaricus
Allomyces macrogynus,ATCC_38327,Allomyces_macrogynus_ATCC_38327.v3.aa.fasta,Allomyces_macrogynus_ATCC_38327.v3.fasta,Allomacr,Fungi;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Blastocladiaceae;Allomyces
Amanita muscaria,Koide,Amanita_muscaria_Koide.Amamu1.v1.aa.fasta,Amanita_muscaria_Koide.Amamu1.v1.fasta,Amanmusc,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita
Amanita thiersii,Skay4041,Amanita_thiersii_Skay4041.Amath1.v1.aa.fasta,Amanita_thiersii_Skay4041.Amath1.v1.fasta,Amanthie,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita
Amniculicola lignicola,CBS_123094,Amniculicola_lignicola_CBS_123094.Amnli1.v1.aa.fasta,Amniculicola_lignicola_CBS_123094.Amnli1.v1.fasta,Amnilign,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Amniculicolaceae;Amniculicola
Amorphotheca resinae,ATCC_22711,Amorphotheca_resinae_ATCC_22711.Amore1.v1.aa.fasta,Amorphotheca_resinae_ATCC_22711.Amore1.v1.fasta,Amorresi,Fungi;Ascomycota;Leotiomycetes;Helotiales;Amorphothecaceae;Amorphotheca
Antonospora locustae,HM-2013,Antonospora_locustae_HM-2013.Antlo1.aa.fasta,Antonospora_locustae_HM-2013.Antlo1.fasta,Antolocu,Fungi;Microsporidia;Antonospora
Aplosporella prunicola,CBS_121,Aplosporella_prunicola_CBS_121.167.Aplpr1.v1.aa.fasta,Aplosporella_prunicola_CBS_121.167.Aplpr1.v1.fasta,Aploprun,Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Aplosporellaceae;Aplosporella
Armillaria mellea,DSM_3731,Armillaria_mellea_DSM_3731.Armme1_1.aa.fasta,Armillaria_mellea_DSM_3731.Armme1_1.fasta,Armimell,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Physalacriaceae;Armillaria
Ascobolus immersus,RN42,Ascobolus_immersus_RN42.Ascim1.v1.aa.fasta,Ascobolus_immersus_RN42.Ascim1.v1.fasta,Ascoimme,Fungi;Ascomycota;Pezizomycetes;Pezizales;Ascobolaceae;Ascobolus
Ascocoryne sarcoides,NRRL_50072,Ascocoryne_sarcoides_NRRL_50072.Ascsa1.aa.fasta,Ascocoryne_sarcoides_NRRL_50072.Ascsa1.fasta,Ascosarc,Fungi;Ascomycota;Leotiomycetes;Helotiales;Gelatinodiscaceae;Ascocoryne
Ascodesmis nigricans,CBS_389,Ascodesmis_nigricans_CBS_389.68.Ascni1.v1.aa.fasta,Ascodesmis_nigricans_CBS_389.68.Ascni1.v1.fasta,Asconigr,Fungi;Ascomycota;Pezizomycetes;Pezizales;Ascodesmidaceae;Ascodesmis
Ascosphaera apis,ARSEF_7405,Ascosphaera_apis_ARSEF_7405.v1.aa.fasta,Ascosphaera_apis_ARSEF_7405.v1.fasta,Ascoapis,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Ascosphaeraceae;Ascosphaera
Aspergillus fumigatus,Af293,Aspergillus_fumigatus_Af293.aa.fasta,Aspergillus_fumigatus_Af293.fasta,Aspefumi,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus niger,ATCC_1015,Aspergillus_niger_ATCC_1015.Aspni7.v4.aa.fasta,Aspergillus_niger_ATCC_1015.Aspni7.v4.fasta,Aspenige,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aulographum hederae,CBS_113979,Aulographum_hederae_CBS_113979.Aulhe2.v2.aa.fasta,Aulographum_hederae_CBS_113979.Aulhe2.v2.fasta,Aulohede,Fungi;Ascomycota;Dothideomycetes;Aulographales;Aulographaceae;Aulographum
Aureobasidium pullulans,var_pullulans_EXF-150,Aureobasidium_pullulans_var_pullulans_EXF-150.Aurpu_var_pul1.aa.fasta,Aureobasidium_pullulans_var_pullulans_EXF-150.Aurpu_var_pul1.fasta,Aurepull,Fungi;Ascomycota;Dothideomycetes;Dothideales;Saccotheciaceae;Aureobasidium
Auricularia subglabra,TFB10046_SS-5,Auricularia_subglabra_TFB10046_SS-5.Aurde3_1.v2.aa.fasta,Auricularia_subglabra_TFB10046_SS-5.Aurde3_1.v2.fasta,Aurisubg,Fungi;Basidiomycota;Agaricomycetes;Auriculariales;Auriculariaceae;Auricularia
Auriscalpium vulgare,FP105234-Sp,Auriscalpium_vulgare_FP105234-Sp.Aurvu1.v1.aa.fasta,Auriscalpium_vulgare_FP105234-Sp.Aurvu1.v1.fasta,Aurivulg,Fungi;Basidiomycota;Agaricomycetes;Russulales;Auriscalpiaceae;Auriscalpium
Backusella circina,FSU_941,Backusella_circina_FSU_941.Bacci1.v1.aa.fasta,Backusella_circina_FSU_941.Bacci1.v1.fasta,Backcirc,Fungi;Mucoromycota;Mucoromycetes;Mucorales;Backusellaceae;Backusella
Basidiobolus meristosporus,B9252,Basidiobolus_meristosporus_B9252.aa.fasta,Basidiobolus_meristosporus_B9252.fasta,Basimeri,Fungi;Basidiobolomycota;Basidiobolomycetes;Basidiobolales;Basidiobolaceae;Basidiobolus
Basidiobolus meristosporus,CBS_931,Basidiobolus_meristosporus_CBS_931.73.Basme2finSC.v1.aa.fasta,Basidiobolus_meristosporus_CBS_931.73.Basme2finSC.v1.fasta,Basimer2,Fungi;Basidiobolomycota;Basidiobolomycetes;Basidiobolales;Basidiobolaceae;Basidiobolus
Batrachochytrium dendrobatidis,JAM81,Batrachochytrium_dendrobatidis_JAM81.Batde5.v1.aa.fasta,Batrachochytrium_dendrobatidis_JAM81.Batde5.v1.fasta,Batrdend,Fungi;Chytridiomycota;Chytridiomycetes;Rhizophydiales;Batrachochytrium
Beauveria bassiana,ARSEF_2860,Beauveria_bassiana_ARSEF_2860.Beaba1.aa.fasta,Beauveria_bassiana_ARSEF_2860.Beaba1.fasta,Beaubass,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Beauveria
Bimuria novae-zelandiae,CBS_107,Bimuria_novae-zelandiae_CBS_107.79.Bimnz1.v1.aa.fasta,Bimuria_novae-zelandiae_CBS_107.79.Bimnz1.v1.fasta,Bimunova,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymosphaeriaceae;Bimuria
Bjerkandera adusta,HHB-12826-SP_SB-22,Bjerkandera_adusta_HHB-12826-SP_SB-22.Bjead1_1.v1.aa.fasta,Bjerkandera_adusta_HHB-12826-SP_SB-22.Bjead1_1.v1.fasta,Bjeradus,Fungi;Basidiomycota;Agaricomycetes;Polyporales;Phanerochaetaceae;Bjerkandera
Blastobotrys adeninivorans,LS3,Blastobotrys_adeninivorans_LS3.Arxad1.aa.fasta,Blastobotrys_adeninivorans_LS3.Arxad1.fasta,Blasaden,Fungi;Ascomycota;Dipodascomycetes;Dipodascales;Trichomonascaceae;Blastobotrys
Blumeria graminis,f_sp_hordei_DH14,Blumeria_graminis_f_sp_hordei_DH14.Blugr1.aa.fasta,Blumeria_graminis_f_sp_hordei_DH14.Blugr1.fasta,Blumgram,Fungi;Ascomycota;Leotiomycetes;Helotiales;Erysiphaceae;Blumeria
Boletus edulis,BED1,Boletus_edulis_BED1.Boled1.v1.aa.fasta,Boletus_edulis_BED1.Boled1.v1.fasta,Boleedul,Fungi;Basidiomycota;Agaricomycetes;Boletales;Boletaceae;Boletus
Botryobasidium botryosum,FD-172_SS1,Botryobasidium_botryosum_FD-172_SS1.Botbo1.v1.aa.fasta,Botryobasidium_botryosum_FD-172_SS1.Botbo1.v1.fasta,Botrbotr,Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Botryobasidiaceae;Botryobasidium
Botryosphaeria dothidea,CBS_115476,Botryosphaeria_dothidea_CBS_115476.Botdo1_1.aa.fasta,Botryosphaeria_dothidea_CBS_115476.Botdo1_1.fasta,Botrdoth,Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Botryosphaeria
Botrytis cinerea,B05,Botrytis_cinerea_B05.10.aa.fasta,Botrytis_cinerea_B05.10.fasta,Botrcine,Fungi;Ascomycota;Leotiomycetes;Helotiales;Sclerotiniaceae;Botrytis
Byssothecium circinans,CBS_675,Byssothecium_circinans_CBS_675.92.Bysci1.v1.aa.fasta,Byssothecium_circinans_CBS_675.92.Bysci1.v1.fasta,Bysscirc,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Massarinaceae;Byssothecium
Calocera cornea,HHB12733,Calocera_cornea_HHB12733.Calco1.v1.aa.fasta,Calocera_cornea_HHB12733.Calco1.v1.fasta,Calocorn,Fungi;Basidiomycota;Dacrymycetes;Dacrymycetales;Dacrymycetaceae;Calocera
Candida albicans,SC5314,Candida_albicans_SC5314.vA22-s05-m05-r09.aa.fasta,Candida_albicans_SC5314.vA22-s05-m05-r09.fasta,Candalbi,Fungi;Ascomycota;Pichiomycetes;Serinales;Debaryomycetaceae;Candida
Capronia coronata,CBS_617,Capronia_coronata_CBS_617.96.aa.fasta,Capronia_coronata_CBS_617.96.fasta,Caprcoro,Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Capronia
Catenaria anguillulae,PL171,Catenaria_anguillulae_PL171.Catan1.v1.aa.fasta,Catenaria_anguillulae_PL171.Catan1.v1.fasta,Cateangu,Fungi;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Catenariaceae;Catenaria
Cenococcum geophilum,1,Cenococcum_geophilum_1.58.Cenge3.v2.aa.fasta,Cenococcum_geophilum_1.58.Cenge3.v2.fasta,Cenogeop,Fungi;Ascomycota;Dothideomycetes;Gloniales;Gloniaceae;Cenococcum
Cephaloascus albidus,ATCC_66658,Cephaloascus_albidus_ATCC_66658.Cepal1_1.v1.aa.fasta,Cephaloascus_albidus_ATCC_66658.Cepal1_1.v1.fasta,Cephalbi,Fungi;Ascomycota;Pichiomycetes;Serinales;Cephaloascaceae;Cephaloascus
Chaetomium globosum,CBS_148,Chaetomium_globosum_CBS_148.51.aa.fasta,Chaetomium_globosum_CBS_148.51.fasta,Chaeglob,Fungi;Ascomycota;Sordariomycetes;Sordariales;Chaetomiaceae;Chaetomium
Choiromyces venosus,120613-1,Choiromyces_venosus_120613-1.Chove1.v1.aa.fasta,Choiromyces_venosus_120613-1.Chove1.v1.fasta,Choiveno,Fungi;Ascomycota;Pezizomycetes;Pezizales;Tuberaceae;Choiromyces
Cladonia grayi,Cgr-DA2myc-ss,Cladonia_grayi_Cgr-DA2myc-ss.Clagr3.v2.aa.fasta,Cladonia_grayi_Cgr-DA2myc-ss.Clagr3.v2.fasta,Cladgray,Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Cladoniaceae;Cladonia
Cladosporium sphaerospermum,UM_843,Cladosporium_sphaerospermum_UM_843.aa.fasta,Cladosporium_sphaerospermum_UM_843.fasta,Cladspha,Fungi;Ascomycota;Dothideomycetes;Cladosporiales;Cladosporiaceae;Cladosporium
Clathrospora elynae,CBS_161,Clathrospora_elynae_CBS_161.51.Clael1.v1.aa.fasta,Clathrospora_elynae_CBS_161.51.Clael1.v1.fasta,Clatelyn,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Diademaceae;Clathrospora
Claviceps purpurea,20,Claviceps_purpurea_20.1.aa.fasta,Claviceps_purpurea_20.1.fasta,Clavpurp,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Clavicipitaceae;Claviceps
Clavispora lusitaniae,ATCC_42720,Clavispora_lusitaniae_ATCC_42720.aa.fasta,Clavispora_lusitaniae_ATCC_42720.fasta,Clavlusi,Fungi;Ascomycota;Pichiomycetes;Serinales;Metschnikowiaceae;Clavispora
Clonostachys rosea,CBS_125111,Clonostachys_rosea_CBS_125111.Cloro1.v1.aa.fasta,Clonostachys_rosea_CBS_125111.Cloro1.v1.fasta,Clonrose,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Bionectriaceae;Clonostachys
Coccidioides immitis,RS,Coccidioides_immitis_RS.aa.fasta,Coccidioides_immitis_RS.fasta,Coccimmi,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Onygenaceae;Coccidioides
Coemansia reversa,NRRL_1564,Coemansia_reversa_NRRL_1564.Coere1.v1.aa.fasta,Coemansia_reversa_NRRL_1564.Coere1.v1.fasta,Coemreve,Fungi;Kickxellomycota;Kickxellomycetes;Kickxellales;Kickxellaceae;Coemansia
Colletotrichum graminicola,M1,Colletotrichum_graminicola_M1.001.v1.aa.fasta,Colletotrichum_graminicola_M1.001.v1.fasta,Collgram,Fungi;Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum
Colletotrichum higginsianum,IMI_349063,Colletotrichum_higginsianum_IMI_349063.v1.aa.fasta,Colletotrichum_higginsianum_IMI_349063.v1.fasta,Collhigg,Fungi;Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum
Conidiobolus coronatus,NRRL_28638,Conidiobolus_coronatus_NRRL_28638.Conco1.v1.aa.fasta,Conidiobolus_coronatus_NRRL_28638.Conco1.v1.fasta,Conicoro,Fungi;Entomophthoromycota;Entomophthoromycetes;Entomophthorales;Conidiobolaceae;Conidiobolus
Coniochaeta ligniaria,CBS_111746,Coniochaeta_ligniaria_CBS_111746.aa.fasta,Coniochaeta_ligniaria_CBS_111746.fasta,Conilign,Fungi;Ascomycota;Sordariomycetes;Coniochaetales;Coniochaetaceae;Coniochaeta
Coniophora puteana,RWD-64-598_SS2,Coniophora_puteana_RWD-64-598_SS2.Conpu1.v1.aa.fasta,Coniophora_puteana_RWD-64-598_SS2.Conpu1.v1.fasta,Conipute,Fungi;Basidiomycota;Agaricomycetes;Boletales;Coniophoraceae;Coniophora
