Species,Strain,Protein,DNA,Short,Lineage
Aspergillus clavatus,M-2-1,Aspergillus_clavatus_M-2-1.proteins.fa,Aspergillus_clavatus_M-2-1.scaffolds.fa,Aspeclav,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus clavatus,NRRL 1,Aspergillus_clavatus_NRRL_1.proteins.fa,Aspergillus_clavatus_NRRL_1.scaffolds.fa,Aspecla2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus conjunctus,NRRL 5080,Aspergillus_conjunctus_NRRL_5080.proteins.fa,Aspergillus_conjunctus_NRRL_5080.scaffolds.fa,Aspeconj,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus costaricensis,CBS 115574,Aspergillus_costaricensis_CBS_115574.proteins.fa,Aspergillus_costaricensis_CBS_115574.scaffolds.fa,Aspecost,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus costaricensis,FKII-L6-BK-DRAB1,Aspergillus_costaricensis_FKII-L6-BK-DRAB1.proteins.fa,Aspergillus_costaricensis_FKII-L6-BK-DRAB1.scaffolds.fa,Aspecos2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus costaricensis,LH_A159,Aspergillus_costaricensis_LH_A159.proteins.fa,Aspergillus_costaricensis_LH_A159.scaffolds.fa,Aspecos3,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus creber,HOSP050413_5_135,Aspergillus_creber_HOSP050413_5_135.proteins.fa,Aspergillus_creber_HOSP050413_5_135.scaffolds.fa,Aspecreb,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus cristatus,2e,Aspergillus_cristatus_2e.proteins.fa,Aspergillus_cristatus_2e.scaffolds.fa,Aspecris,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus cristatus,AC_1,Aspergillus_cristatus_AC_1.proteins.fa,Aspergillus_cristatus_AC_1.scaffolds.fa,Aspecri2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus cristatus,ACQ.1,Aspergillus_cristatus_ACQ.1.proteins.fa,Aspergillus_cristatus_ACQ.1.scaffolds.fa,Aspecri3,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus cristatus,BL-2023a,Aspergillus_cristatus_BL-2023a.proteins.fa,Aspergillus_cristatus_BL-2023a.scaffolds.fa,Aspecri4,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus cristatus,EC520,Aspergillus_cristatus_EC520.proteins.fa,Aspergillus_cristatus_EC520.scaffolds.fa,Aspecri5,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus cristatus,GT1,Aspergillus_cristatus_GT1.proteins.fa,Aspergillus_cristatus_GT1.scaffolds.fa,Aspecri6,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus cristatus,GZAAS20.1005,Aspergillus_cristatus_GZAAS20.1005.proteins.fa,Aspergillus_cristatus_GZAAS20.1005.scaffolds.fa,Aspecri7,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus cristatus,JH-5,Aspergillus_cristatus_JH-5.proteins.fa,Aspergillus_cristatus_JH-5.scaffolds.fa,Aspecri8,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus cristatus,PB2712,Aspergillus_cristatus_PB2712.proteins.fa,Aspergillus_cristatus_PB2712.scaffolds.fa,Aspecri9,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus cristatus,S2702,Aspergillus_cristatus_S2702.proteins.fa,Aspergillus_cristatus_S2702.scaffolds.fa,Aspecr10,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus cristatus,YKY807,Aspergillus_cristatus_YKY807.proteins.fa,Aspergillus_cristatus_YKY807.scaffolds.fa,Aspecr11,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus croceus,JS3-P1,Aspergillus_croceus_JS3-P1.proteins.fa,Aspergillus_croceus_JS3-P1.scaffolds.fa,Aspecroc,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus crustosus,CBS 478.65,Aspergillus_crustosus_CBS_478.65.proteins.fa,Aspergillus_crustosus_CBS_478.65.scaffolds.fa,Aspecrus,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus cvjetkovicii,NRRL 227,Aspergillus_cvjetkovicii_NRRL_227.proteins.fa,Aspergillus_cvjetkovicii_NRRL_227.scaffolds.fa,Aspecvje,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus desertorum,CBS 653.73,Aspergillus_desertorum_CBS_653.73.proteins.fa,Aspergillus_desertorum_CBS_653.73.scaffolds.fa,Aspedese,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus destruens,EXF-10360,Aspergillus_destruens_EXF-10360.proteins.fa,Aspergillus_destruens_EXF-10360.scaffolds.fa,Aspedest,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus destruens,EXF-7651,Aspergillus_destruens_EXF-7651.proteins.fa,Aspergillus_destruens_EXF-7651.scaffolds.fa,Aspedes2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus diversus,NRRL 5074,Aspergillus_diversus_NRRL_5074.proteins.fa,Aspergillus_diversus_NRRL_5074.scaffolds.fa,Aspedive,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus egyptiacus,CBS 656.73,Aspergillus_egyptiacus_CBS_656.73.proteins.fa,Aspergillus_egyptiacus_CBS_656.73.scaffolds.fa,Aspeegyp,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus elegans,IMI 345568,Aspergillus_elegans_IMI_345568.proteins.fa,Aspergillus_elegans_IMI_345568.scaffolds.fa,Aspeeleg,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus ellipticus,CBS 707.79,Aspergillus_ellipticus_CBS_707.79.proteins.fa,Aspergillus_ellipticus_CBS_707.79.scaffolds.fa,Aspeelli,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus eucalypticola,CBS 122712,Aspergillus_eucalypticola_CBS_122712.proteins.fa,Aspergillus_eucalypticola_CBS_122712.scaffolds.fa,Aspeeuca,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus falconensis,CBS 271.91,Aspergillus_falconensis_CBS_271.91.proteins.fa,Aspergillus_falconensis_CBS_271.91.scaffolds.fa,Aspefalc,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus felis,CNM-CM5623,Aspergillus_felis_CNM-CM5623.proteins.fa,Aspergillus_felis_CNM-CM5623.scaffolds.fa,Aspefeli,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus felis,CNM-CM7691,Aspergillus_felis_CNM-CM7691.proteins.fa,Aspergillus_felis_CNM-CM7691.scaffolds.fa,Aspefel2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus felis,FM324,Aspergillus_felis_FM324.proteins.fa,Aspergillus_felis_FM324.scaffolds.fa,Aspefel3,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus felis,T4_F18,Aspergillus_felis_T4_F18.proteins.fa,Aspergillus_felis_T4_F18.scaffolds.fa,Aspefel4,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fijiensis,CBS 313.89,Aspergillus_fijiensis_CBS_313.89.proteins.fa,Aspergillus_fijiensis_CBS_313.89.scaffolds.fa,Aspefiji,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fijiensis,CY4,Aspergillus_fijiensis_CY4.proteins.fa,Aspergillus_fijiensis_CY4.scaffolds.fa,Aspefij2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus filifer,CBS 114510,Aspergillus_filifer_CBS_114510.proteins.fa,Aspergillus_filifer_CBS_114510.scaffolds.fa,Aspefili,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fischeri,IBT 3003,Aspergillus_fischeri_IBT_3003.proteins.fa,Aspergillus_fischeri_IBT_3003.scaffolds.fa,Aspefisc,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fischeri,IBT 3007,Aspergillus_fischeri_IBT_3007.proteins.fa,Aspergillus_fischeri_IBT_3007.scaffolds.fa,Aspefis2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fischeri,NRRL 181,Aspergillus_fischeri_NRRL_181.proteins.fa,Aspergillus_fischeri_NRRL_181.scaffolds.fa,Aspefis3,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fischeri,NRRL4161,Aspergillus_fischeri_NRRL4161.proteins.fa,Aspergillus_fischeri_NRRL4161.scaffolds.fa,Aspefis4,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fischeri,NRRL4585,Aspergillus_fischeri_NRRL4585.proteins.fa,Aspergillus_fischeri_NRRL4585.scaffolds.fa,Aspefis5,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus flavus,,Aspergillus_flavus.proteins.fa,Aspergillus_flavus.scaffolds.fa,Aspeflav,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus flavus,07-C-1-1-1,Aspergillus_flavus_07-C-1-1-1.proteins.fa,Aspergillus_flavus_07-C-1-1-1.scaffolds.fa,Aspefla2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus flavus,07-C-1-1-4,Aspergillus_flavus_07-C-1-1-4.proteins.fa,Aspergillus_flavus_07-C-1-1-4.scaffolds.fa,Aspefla3,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus flavus,07-C-3-2-5,Aspergillus_flavus_07-C-3-2-5.proteins.fa,Aspergillus_flavus_07-C-3-2-5.scaffolds.fa,Aspefla4,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus flavus,07-C-3-5-5,Aspergillus_flavus_07-C-3-5-5.proteins.fa,Aspergillus_flavus_07-C-3-5-5.scaffolds.fa,Aspefla5,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus flavus,07-C-5-1-5,Aspergillus_flavus_07-C-5-1-5.proteins.fa,Aspergillus_flavus_07-C-5-1-5.scaffolds.fa,Aspefla6,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus flavus,07-C-7-10-3,Aspergillus_flavus_07-C-7-10-3.proteins.fa,Aspergillus_flavus_07-C-7-10-3.scaffolds.fa,Aspefla7,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus flavus,07-C-7-6-4,Aspergillus_flavus_07-C-7-6-4.proteins.fa,Aspergillus_flavus_07-C-7-6-4.scaffolds.fa,Aspefla8,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus flavus,07-M-C-3-1-7,Aspergillus_flavus_07-M-C-3-1-7.proteins.fa,Aspergillus_flavus_07-M-C-3-1-7.scaffolds.fa,Aspefla9,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus flavus,07-M-S-3-3-2,Aspergillus_flavus_07-M-S-3-3-2.proteins.fa,Aspergillus_flavus_07-M-S-3-3-2.scaffolds.fa,Aspefl10,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus flavus,07-M-S-3-6-1,Aspergillus_flavus_07-M-S-3-6-1.proteins.fa,Aspergillus_flavus_07-M-S-3-6-1.scaffolds.fa,Aspefl11,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus flavus,07-S-1-1-7,Aspergillus_flavus_07-S-1-1-7.proteins.fa,Aspergillus_flavus_07-S-1-1-7.scaffolds.fa,Aspefl12,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus flavus,07-S-2-1-1,Aspergillus_flavus_07-S-2-1-1.proteins.fa,Aspergillus_flavus_07-S-2-1-1.scaffolds.fa,Aspefl13,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus flavus,07-S-2-1-2,Aspergillus_flavus_07-S-2-1-2.proteins.fa,Aspergillus_flavus_07-S-2-1-2.scaffolds.fa,Aspefl14,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus flavus,07-S-2-5-7,Aspergillus_flavus_07-S-2-5-7.proteins.fa,Aspergillus_flavus_07-S-2-5-7.scaffolds.fa,Aspefl15,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus flavus,07-S-3-1-1,Aspergillus_flavus_07-S-3-1-1.proteins.fa,Aspergillus_flavus_07-S-3-1-1.scaffolds.fa,Aspefl16,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus flavus,07-S-3-1-8,Aspergillus_flavus_07-S-3-1-8.proteins.fa,Aspergillus_flavus_07-S-3-1-8.scaffolds.fa,Aspefl17,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus flavus,07-S-3-2-4,Aspergillus_flavus_07-S-3-2-4.proteins.fa,Aspergillus_flavus_07-S-3-2-4.scaffolds.fa,Aspefl18,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus flavus,07-S-4-4-1,Aspergillus_flavus_07-S-4-4-1.proteins.fa,Aspergillus_flavus_07-S-4-4-1.scaffolds.fa,Aspefl19,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus flavus,07-S-6-4-1,Aspergillus_flavus_07-S-6-4-1.proteins.fa,Aspergillus_flavus_07-S-6-4-1.scaffolds.fa,Aspefl20,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus flavus,07-S-6-5-4,Aspergillus_flavus_07-S-6-5-4.proteins.fa,Aspergillus_flavus_07-S-6-5-4.scaffolds.fa,Aspefl21,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
