Species,Strain,Protein,DNA,Short,Lineage
Amauroascus verrucosus,UAMH 3576,Amauroascus_verrucosus_UAMH_3576.proteins.fa,Amauroascus_verrucosus_UAMH_3576.scaffolds.fa,Amauverr,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Onygenaceae;Amauroascus
Anthracina ramosa,CGMCC 3.16372,Anthracina_ramosa_CGMCC_3.16372.proteins.fa,Anthracina_ramosa_CGMCC_3.16372.scaffolds.fa,Anthramo,Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Trichomeriaceae;Anthracina
Aphanoascus verrucosus,IHEM 4434,Aphanoascus_verrucosus_IHEM_4434.proteins.fa,Aphanoascus_verrucosus_IHEM_4434.scaffolds.fa,Aphaverr,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Onygenaceae;Aphanoascus
Arachnomyces sp. KDTOL00113,,Arachnomyces_sp._KDTOL00113.proteins.fa,Arachnomyces_sp._KDTOL00113.scaffolds.fa,Aracsp,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Arachnomycetaceae;Arachnomyces
Arachnomyces sp. PD_36,PD_36,Arachnomyces_sp._PD_36_PD_36.proteins.fa,Arachnomyces_sp._PD_36_PD_36.scaffolds.fa,Aracsp2,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Arachnomycetaceae;Arachnomyces
Arthrocladium fulminans,CBS 136243,Arthrocladium_fulminans_CBS_136243.proteins.fa,Arthrocladium_fulminans_CBS_136243.scaffolds.fa,Arthfulm,Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Trichomeriaceae;Arthrocladium
Arthroderma sp. MBC 290,MBC 290,Arthroderma_sp._MBC_290_MBC_290.proteins.fa,Arthroderma_sp._MBC_290_MBC_290.scaffolds.fa,Arthsp,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Arthrodermataceae;Arthroderma
Arthroderma sp. MBC 293,MBC 293,Arthroderma_sp._MBC_293_MBC_293.proteins.fa,Arthroderma_sp._MBC_293_MBC_293.scaffolds.fa,Arthsp2,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Arthrodermataceae;Arthroderma
Arthroderma sp. MBC 929,MBC 929,Arthroderma_sp._MBC_929_MBC_929.proteins.fa,Arthroderma_sp._MBC_929_MBC_929.scaffolds.fa,Arthsp3,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Arthrodermataceae;Arthroderma
Arthroderma sp. MBC 961,MBC 961,Arthroderma_sp._MBC_961_MBC_961.proteins.fa,Arthroderma_sp._MBC_961_MBC_961.scaffolds.fa,Arthsp4,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Arthrodermataceae;Arthroderma
Arthroderma sp. PD_2,PD_2,Arthroderma_sp._PD_2_PD_2.proteins.fa,Arthroderma_sp._PD_2_PD_2.scaffolds.fa,Arthsp5,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Arthrodermataceae;Arthroderma
Arthroderma uncinatum,CBS 119779,Arthroderma_uncinatum_CBS_119779.proteins.fa,Arthroderma_uncinatum_CBS_119779.scaffolds.fa,Arthunci,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Arthrodermataceae;Arthroderma
Arthroderma uncinatum,T10,Arthroderma_uncinatum_T10.proteins.fa,Arthroderma_uncinatum_T10.scaffolds.fa,Arthunc2,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Arthrodermataceae;Arthroderma
Ascosphaera acerosa,ATCC 201316,Ascosphaera_acerosa_ATCC_201316.proteins.fa,Ascosphaera_acerosa_ATCC_201316.scaffolds.fa,Ascoacer,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Ascosphaeraceae;Ascosphaera
Ascosphaera aggregata,USDA-ARS PIBMSR Wild2,Ascosphaera_aggregata_USDA-ARS_PIBMSR_Wild2.proteins.fa,Ascosphaera_aggregata_USDA-ARS_PIBMSR_Wild2.scaffolds.fa,Ascoaggr,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Ascosphaeraceae;Ascosphaera
Ascosphaera apis,ARSEF 7405,Ascosphaera_apis_ARSEF_7405.proteins.fa,Ascosphaera_apis_ARSEF_7405.scaffolds.fa,Ascoapis,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Ascosphaeraceae;Ascosphaera
Ascosphaera apis,USDA-ARSEF 7405,Ascosphaera_apis_USDA-ARSEF_7405.proteins.fa,Ascosphaera_apis_USDA-ARSEF_7405.scaffolds.fa,Ascoapi2,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Ascosphaeraceae;Ascosphaera
Ascosphaera atra,ARSEF 5147,Ascosphaera_atra_ARSEF_5147.proteins.fa,Ascosphaera_atra_ARSEF_5147.scaffolds.fa,Ascoatra,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Ascosphaeraceae;Ascosphaera
Ascosphaera pollenicola,ATCC 62712,Ascosphaera_pollenicola_ATCC_62712.proteins.fa,Ascosphaera_pollenicola_ATCC_62712.scaffolds.fa,Ascopoll,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Ascosphaeraceae;Ascosphaera
Aspergillaceae sp.,CTeuk-1914,Aspergillaceae_sp._CTeuk-1914.proteins.fa,Aspergillaceae_sp._CTeuk-1914.scaffolds.fa,Aspesp,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae
Aspergillaceae sp. MA 6039,MA 6039,Aspergillaceae_sp._MA_6039_MA_6039.proteins.fa,Aspergillaceae_sp._MA_6039_MA_6039.scaffolds.fa,Aspesp2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae
Aspergillus aculeatinus,CBS 121060,Aspergillus_aculeatinus_CBS_121060.proteins.fa,Aspergillus_aculeatinus_CBS_121060.scaffolds.fa,Aspeacul,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus aculeatinus,IC_8,Aspergillus_aculeatinus_IC_8.proteins.fa,Aspergillus_aculeatinus_IC_8.scaffolds.fa,Aspeacu2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus aff. floccosus IMV 01167,IMV 01167,Aspergillus_aff._floccosus_IMV_01167_IMV_01167.proteins.fa,Aspergillus_aff._floccosus_IMV_01167_IMV_01167.scaffolds.fa,Aspeaff,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus aflatoxiformans,LH_A394,Aspergillus_aflatoxiformans_LH_A394.proteins.fa,Aspergillus_aflatoxiformans_LH_A394.scaffolds.fa,Aspeafla,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus annui,IBT 36122,Aspergillus_annui_IBT_36122.proteins.fa,Aspergillus_annui_IBT_36122.scaffolds.fa,Aspeannu,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus aspearensis,CBS 143672,Aspergillus_aspearensis_CBS_143672.proteins.fa,Aspergillus_aspearensis_CBS_143672.scaffolds.fa,Aspeaspe,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus asperescens,NRRL 4770,Aspergillus_asperescens_NRRL_4770.proteins.fa,Aspergillus_asperescens_NRRL_4770.scaffolds.fa,Aspeasp2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus austwickii,LH_A515,Aspergillus_austwickii_LH_A515.proteins.fa,Aspergillus_austwickii_LH_A515.scaffolds.fa,Aspeaust,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus awamori,IFM 58123,Aspergillus_awamori_IFM_58123.proteins.fa,Aspergillus_awamori_IFM_58123.scaffolds.fa,Aspeawam,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus awamori,JCM 22320,Aspergillus_awamori_JCM_22320.proteins.fa,Aspergillus_awamori_JCM_22320.scaffolds.fa,Aspeawa2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus baeticus,NRRL 62501,Aspergillus_baeticus_NRRL_62501.proteins.fa,Aspergillus_baeticus_NRRL_62501.scaffolds.fa,Aspebaet,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus bombycis,NRRL 26010,Aspergillus_bombycis_NRRL_26010.proteins.fa,Aspergillus_bombycis_NRRL_26010.scaffolds.fa,Aspebomb,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus bombycis,NRRL26010,Aspergillus_bombycis_NRRL26010.proteins.fa,Aspergillus_bombycis_NRRL26010.scaffolds.fa,Aspebom2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus brasiliensis,CBS 101740,Aspergillus_brasiliensis_CBS_101740.proteins.fa,Aspergillus_brasiliensis_CBS_101740.scaffolds.fa,Aspebras,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus brasiliensis,CBS 733.88,Aspergillus_brasiliensis_CBS_733.88.proteins.fa,Aspergillus_brasiliensis_CBS_733.88.scaffolds.fa,Aspebra2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus brasiliensis,E_15.1,Aspergillus_brasiliensis_E_15.1.proteins.fa,Aspergillus_brasiliensis_E_15.1.scaffolds.fa,Aspebra3,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus brasiliensis,IFM 66950,Aspergillus_brasiliensis_IFM_66950.proteins.fa,Aspergillus_brasiliensis_IFM_66950.scaffolds.fa,Aspebra4,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus brasiliensis,IFM 66951,Aspergillus_brasiliensis_IFM_66951.proteins.fa,Aspergillus_brasiliensis_IFM_66951.scaffolds.fa,Aspebra5,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus bridgeri,NRRL 13000,Aspergillus_bridgeri_NRRL_13000.proteins.fa,Aspergillus_bridgeri_NRRL_13000.scaffolds.fa,Aspebrid,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus brunneus,CBS 112.26,Aspergillus_brunneus_CBS_112.26.proteins.fa,Aspergillus_brunneus_CBS_112.26.scaffolds.fa,Aspebrun,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus campestris,IBT 28561,Aspergillus_campestris_IBT_28561.proteins.fa,Aspergillus_campestris_IBT_28561.scaffolds.fa,Aspecamp,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus campestris,LH_A408,Aspergillus_campestris_LH_A408.proteins.fa,Aspergillus_campestris_LH_A408.scaffolds.fa,Aspecam2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus carbonarius,ITEM 5010,Aspergillus_carbonarius_ITEM_5010.proteins.fa,Aspergillus_carbonarius_ITEM_5010.scaffolds.fa,Aspecarb,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus cejpii,FS110,Aspergillus_cejpii_FS110.proteins.fa,Aspergillus_cejpii_FS110.scaffolds.fa,Aspecejp,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus chevalieri,,Aspergillus_chevalieri.proteins.fa,Aspergillus_chevalieri.scaffolds.fa,Aspechev,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus chevalieri,M1,Aspergillus_chevalieri_M1.proteins.fa,Aspergillus_chevalieri_M1.scaffolds.fa,Aspeche2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
