metric	value
n_controls	7
n_positive	2
n_positive_resolved	0
positive_hits	0
recall	
n_negative	5
n_negative_resolved	5
negative_fp	0
fp_rate	0.0
n_unresolved	2
n_placeholder_skipped	0
